FACID,FACILITY_TYPE,LIC#,LICENSED_NAME,ADDRESS,FAC_CITY,FAC_ST,ZIP,CSZ,COUNTY,LAT,LNG,FULL_ADDR
NJ24947,Ambulatory Care Facility,24947,Coordinated Health-Lapatcong Township,222 Red School Lane,Phillipsburg,NJ,8865,"PHILLIPSBURG, NJ  08865",Warren,40.703021,-75.165716,"222 Red School Lane, Phillipsburg, NJ, US"
NJR24559,Surgical Practice,R24559,"Core Surgery Center, Llc",256 Stuyvesant Avenue,Lyndhurst,NJ,7071,"LYNDHURST, NJ  07071",Bergen,40.8145775,-74.125888,"256 Stuyvesant Avenue, Lyndhurst, NJ, US"
NJ22001A,Psychiatric Special Hospital,22001,Cornerstone Behavioral Health Hospital Of Union County,40 Watchung Way,Berkeley Heights,NJ,7922,"BERKELEY HEIGHTS, NJ  07922",Union,40.6649902,-74.4215736,"40 Watchung Way, Berkeley Heights, NJ, US"
NJR24512,Ambulatory Surgical Center,R24512,Cosmetic Surgery Center Of Southern New Jersey,1734 Marlton Pike East,Cherry Hill,NJ,8003,"CHERRY HILL, NJ  08003",Camden,39.9066588,-74.9766382,"1734 Marlton Pike East, Cherry Hill, NJ, US"
NJ1016,"Hospital-Based, Off-Site Ambulatory Care Facility",1016,Counseling And Addiction Center,"112 East Avenue, Unit 9",Hackettstown,NJ,7840,"HACKETTSTOWN, NJ  07840",Warren,40.841768,-74.8220812,"112 East Avenue, Unit 9, Hackettstown, NJ, US"
NJ22941,Ambulatory Care Facility,22941,Covenant House New Jersey Medical Services,330 Washington Street,Newark,NJ,7102,"NEWARK, NJ  07102",Essex,40.7336624,-74.1764236,"330 Washington Street, Newark, NJ, US"
NJ1353,"Hospital-Based, Off-Site Ambulatory Care Facility",1353,Csh - Outpatient Center Egg Harbor Township,"6106 Black Horse Pike, Suite D1",Egg Harbor Township,NJ,8234,"EGG HARBOR TOWNSHIP, NJ  08234",Atlantic,39.433067,-74.607485,"6106 Black Horse Pike, Suite D1, Egg Harbor Township, NJ, US"
NJ1457,"Hospital-Based, Off-Site Ambulatory Care Facility",1457,Csh Outpatient Center At Clifton,1135 Broad Street,Clifton,NJ,7013,"CLIFTON, NJ  07013",Passaic,40.857895,-74.1759099,"1135 Broad Street, Clifton, NJ, US"
NJ1369,"Hospital-Based, Off-Site Ambulatory Care Facility",1369,Csh Outpatient Center Newark,182 Lyons Avenue,Newark,NJ,7112,"NEWARK, NJ  07112",Essex,40.7090364,-74.2119974,"182 Lyons Avenue, Newark, NJ, US"
NJ1432,"Hospital-Based, Off-Site Ambulatory Care Facility",1432,Csh-Outpatient Center Warren,266 King George Road,Warren,NJ,7059,"WARREN, NJ  07059",Somerset,40.6423943,-74.5158157,"266 King George Road, Warren, NJ, US"
NJR24729,Surgical Practice,R24729,"Damien Fertility Partners A Div Of Regional Women'S Health Group, L.L.C.","655 Shrewsbury Avenue, Suite 300",Shrewsbury,NJ,7702,"SHREWSBURY, NJ  07702",Monmouth,40.3264591,-74.0733996,"655 Shrewsbury Avenue, Suite 300, Shrewsbury, NJ, US"
NJ22278,End Stage Renal Dialysis,22278,"Dca Of Vineland, Llc","1450 East Chestnut Avenue, Bldg 2, Suite C",Vineland,NJ,8361,"VINELAND, NJ  08361",Cumberland,39.477774,-74.999628,"1450 East Chestnut Avenue, Bldg 2, Suite C, Vineland, NJ, US"
NJ20301,Special Hospital,20301,Deborah Heart & Lung Center,200 Trenton Road,Browns Mills,NJ,8015,"BROWNS MILLS, NJ  08015",Burlington,39.9777214,-74.5843283,"200 Trenton Road, Browns Mills, NJ, US"
NJ1501,"Hospital-Based, Off-Site Ambulatory Care Facility",1501,Deborah Heart And Lung Balance Center,200 Trenton Road,Browns Mills,NJ,8015,"BROWNS MILLS, NJ  08015",Burlington,39.9777214,-74.5843283,"200 Trenton Road, Browns Mills, NJ, US"
NJ1488,Ambulatory Care Facility,1488,Deborah Heart And Lung Center Pediatric Cardiology,212 Trenton Road,Browns Mills,NJ,8015,"BROWNS MILLS, NJ  08015",Burlington,39.97769,-74.586327,"212 Trenton Road, Browns Mills, NJ, US"
NJ1500,"Hospital-Based, Off-Site Ambulatory Care Facility",1500,Deborah Heart And Lung Sleep Center,200 Trenton Road,Browns Mills,NJ,8015,"BROWNS MILLS, NJ  08015",Burlington,39.9777214,-74.5843283,"200 Trenton Road, Browns Mills, NJ, US"
NJ22336,End Stage Renal Dialysis,22336,Delran Dialysis,8008 Route 130 North,Delran,NJ,8075,"DELRAN, NJ  08075",Burlington,40.01695,-74.94919,"8008 Route 130 North, Delran, NJ, US"
NJ24073,Ambulatory Care Facility,24073,Denville Diagnostics Imaging And Open Mri Llc,161 East Main Street,Denville,NJ,7834,"DENVILLE, NJ  07834",Morris,40.887369,-74.479612,"161 East Main Street, Denville, NJ, US"
NJ22720,Ambulatory Care Facility,22720,"Denville Diagnostics Imaging And Open Mri, Llc",0-100 28Th Street,Fair Lawn,NJ,7410,"FAIR LAWN, NJ  07410",Bergen,40.9268464,-74.1091715,"0-100 28Th Street, Fair Lawn, NJ, US"
NJ24097,Ambulatory Care Facility,24097,"Denville Diagnostics Imaging And Open Mri, Llc","601 Hamburg Turnpike, Suite 201",Wayne,NJ,7470,"WAYNE, NJ  07470",Passaic,40.9550501,-74.2178554,"601 Hamburg Turnpike, Suite 201, Wayne, NJ, US"
NJ25066,Ambulatory Care Facility,25066,Denville Medical And Sports Rehabilitation Center,161 East Main Street,Denville,NJ,7834,"DENVILLE, NJ  07834",Morris,40.887369,-74.479612,"161 East Main Street, Denville, NJ, US"
22964,Ambulatory Surgical Center,22964,"Denville Surgery Center, L.L.C.","3130 Route 10 West, Suite 200",Denville,NJ,7834,"DENVILLE, NJ  07834",Morris,40.872811,-74.526499,"3130 Route 10 West, Suite 200, Denville, NJ, US"
NJ24479,Ambulatory Care Facility,24479,Diagnostic Imaging At Saddle Brook,88 Market Street,Saddle Brook,NJ,7663,"SADDLE BROOK, NJ  07663",Bergen,40.895339,-74.082333,"88 Market Street, Saddle Brook, NJ, US"
NJ25013,Ambulatory Care Facility,25013,"Diagnostic Imaging Center, Llc",1921 Oaktree Road,Edison,NJ,8820,"EDISON, NJ  08820",Middlesex,40.573102,-74.361721,"1921 Oaktree Road, Edison, NJ, US"
NJ22475,End Stage Renal Dialysis,22475,"Dialysis Associates Of Northern New Jersey, Llc","2200 Route 10 West, Suite 107",Parsippany,NJ,7054,"PARSIPPANY, NJ  07054",Morris,40.84238,-74.460877,"2200 Route 10 West, Suite 107, Parsippany, NJ, US"
NJ24845,End Stage Renal Dialysis,24845,Dialysis At Deborah,107 Trenton Road,Browns Mills,NJ,8015,"BROWNS MILLS, NJ  08015",Burlington,39.9744882,-74.584558,"107 Trenton Road, Browns Mills, NJ, US"
NJ24703,End Stage Renal Dialysis,24703,Dialysis Center Of West Orange,"101 Old Short Hills Road, Suite 120",West Orange,NJ,7052,"WEST ORANGE, NJ  07052",Essex,40.7306931,-74.3123962,"101 Old Short Hills Road, Suite 120, West Orange, NJ, US"
NJ312525,End Stage Renal Dialysis,41202,Dialysis Clinic Inc - North Brunswick,105 North Center Drive,North Brunswick,NJ,8902,"NORTH BRUNSWICK, NJ  08902",Middlesex,40.4464722,-74.5000669,"105 North Center Drive, North Brunswick, NJ, US"
NJ24358,End Stage Renal Dialysis,24358,Dialysis Clinic Inc Monroe,2 Research Way,Monroe Township,NJ,8831,"MONROE TOWNSHIP, NJ  08831",Middlesex,41.005086,-74.661341,"2 Research Way, Monroe Township, NJ, US"
NJ22462,End Stage Renal Dialysis,22462,Dialysis Clinic Inc. At Centrastate Medical Center,901 West Main Street,Freehold,NJ,7728,"FREEHOLD, NJ  07728",Monmouth,40.2375854,-74.3124217,"901 West Main Street, Freehold, NJ, US"
NJ22638,End Stage Renal Dialysis,22638,"Dialysis Clinic, Inc., Somerset",950 Hamilton Street,Somerset,NJ,8873,"SOMERSET, NJ  08873",Somerset,40.4869211,-74.4856141,"950 Hamilton Street, Somerset, NJ, US"
NJ24873,End Stage Renal Dialysis,24873,Dialysis Palisades Medical Center,"7650 River Road, Suite 150",North Bergen,NJ,7047,"NORTH BERGEN, NJ  07047",Hudson,40.795125,-73.9971235,"7650 River Road, Suite 150, North Bergen, NJ, US"
NJ24842,End Stage Renal Dialysis,24842,Dialyze Direct Nj,3297 State Route 66,Neptune,NJ,7753,"NEPTUNE, NJ  07753",Monmouth,40.229581,-74.063144,"3297 State Route 66, Neptune, NJ, US"
NJ31C0001092,Surgical Practice,R24574,Diamond Institute Of Infertility & Menopause,89 Millburn Avenue,Millburn,NJ,7041,"MILLBURN, NJ  07041",Essex,40.7218583,-74.3135112,"89 Millburn Avenue, Millburn, NJ, US"
NJ24400,Ambulatory Care Facility,24400,"Digestive Healthcare Center, Pa",412 Courtyard Drive,Hillsborough,NJ,8844,"HILLSBOROUGH, NJ  08844",Somerset,40.5494048,-74.612238,"412 Courtyard Drive, Hillsborough, NJ, US"
NJR24706,Surgical Practice,R24706,Dr Michael Rosen Md Pc,1114 Hooper Avenue,Toms River,NJ,8753,"TOMS RIVER, NJ  08753",Ocean,39.975584,-74.1833409,"1114 Hooper Avenue, Toms River, NJ, US"
NJ24428,End Stage Renal Dialysis,24428,Durham Corners Dialysis,241 Durham Avenue,South Plainfield,NJ,7080,"SOUTH PLAINFIELD, NJ  07080",Middlesex,40.5581371,-74.4164013,"241 Durham Avenue, South Plainfield, NJ, US"
NJ23229,Ambulatory Care Facility,23294,Dynamic Medical Imaging L.L.C.,950 West Chestnut Street,Union,NJ,7083,"UNION, NJ  07083",Union,40.6928084,-74.2774663,"950 West Chestnut Street, Union, NJ, US"
NJ1188,"Hospital-Based, Off-Site Ambulatory Care Facility",1188,Early Intervention Program,"3 Cooper Plaza, Suite 513",Camden,NJ,8103,"CAMDEN, NJ  08103",Camden,39.9409211,-75.1157253,"3 Cooper Plaza, Suite 513, Camden, NJ, US"
NJ24764,End Stage Renal Dialysis,24764,East Brunswick Dialysis Center,"629 Cranbury Road, Suite 101",East Brunswick,NJ,8816,"EAST BRUNSWICK, NJ  08816",Middlesex,40.406528,-74.422998,"629 Cranbury Road, Suite 101, East Brunswick, NJ, US"
NJ24450,Ambulatory Care Facility,24450,"East Brunswick Imaging Center, Llc",647 Route 18 South,East Brunswick,NJ,8816,"EAST BRUNSWICK, NJ  08816",Middlesex,40.433405,-74.388273,"647 Route 18 South, East Brunswick, NJ, US"
NJ23103,Ambulatory Care Facility,23103,East Brunswick Open Upright Mri Llc,"620 Cranbury Road, Suite 10",East Brunswick,NJ,8816,"EAST BRUNSWICK, NJ  08816",Middlesex,40.406689,-74.42201,"620 Cranbury Road, Suite 10, East Brunswick, NJ, US"
NJ22214,End Stage Renal Dialysis,22214,East Orange Dialysis,14-20 Prospect Street,East Orange,NJ,7017,"EAST ORANGE, NJ  07017",Essex,40.7672333,-74.21761,"14-20 Prospect Street, East Orange, NJ, US"
NJ1110,"Hospital-Based, Off-Site Ambulatory Care Facility",1110,East Orange Gen Hosp Hyperbaric Wound Care Center,310 Central Avenue,East Orange,NJ,7018,"EAST ORANGE, NJ  07018",Essex,40.7602497,-74.2226674,"310 Central Avenue, East Orange, NJ, US"
NJ1280,"Hospital-Based, Off-Site Ambulatory Care Facility",1280,East Orange General Hosp,240 Central Avenue,East Orange,NJ,7018,"EAST ORANGE, NJ  07018",Essex,40.7531505,-74.2116742,"240 Central Avenue, East Orange, NJ, US"
NJ10704,General Acute Care Hospital,10704,East Orange General Hospital,300 Central Ave,East Orange,NJ,7018,"EAST ORANGE, NJ  07018",Essex,40.7542132,-74.2134091,"300 Central Ave, East Orange, NJ, US"
NJ70771,"Hospital-Based, Off-Site Ambulatory Care Facility",1167,East Orange General Hospital Family Health Center,300 Central Avenue,East Orange,NJ,7018,"EAST ORANGE, NJ  07018",Essex,40.7542132,-74.2134091,"300 Central Avenue, East Orange, NJ, US"
NJ1189,"Hospital-Based, Off-Site Ambulatory Care Facility",1189,East Orange General Hospital Laboratory,310 Central Avenue,East Orange,NJ,7018,"EAST ORANGE, NJ  07018",Essex,40.7602497,-74.2226674,"310 Central Avenue, East Orange, NJ, US"
NJ1388,"Hospital-Based, Off-Site Ambulatory Care Facility",1388,East Orange General Hospital-Hemodialysis,310 Central Avenue,East Orange,NJ,7018,"EAST ORANGE, NJ  07018",Essex,40.7602497,-74.2226674,"310 Central Avenue, East Orange, NJ, US"
NJ311821,Federally Qualified Health Centers,80194,East Orange Primary Care Center,444 William Street,East Orange,NJ,7017,"EAST ORANGE, NJ  07017",Essex,40.7658023,-74.2133308,"444 William Street, East Orange, NJ, US"
NJ24827,End Stage Renal Dialysis,24827,East Paterson Dialysis,"680 Broadway, Suite 103",Paterson,NJ,7514,"PATERSON, NJ  07514",Passaic,40.9176984,-74.1439653,"680 Broadway, Suite 103, Paterson, NJ, US"
NJR24886,Surgical Practice,R24886,East Tremont Vascular Health Care Pllc,"1625 Anderson Avenue, Suite 303",Fort Lee,NJ,7024,"FORT LEE, NJ  07024",Bergen,40.852586,-73.9754352,"1625 Anderson Avenue, Suite 303, Fort Lee, NJ, US"
NJ22943,End Stage Renal Dialysis,22943,Edison Dialysis,29 Meridian Road,Edison,NJ,8820,"EDISON, NJ  08820",Middlesex,40.5733396,-74.3474288,"29 Meridian Road, Edison, NJ, US"
NJ24877,Ambulatory Care Facility,24877,"Edison Medical Imaging, Llc","1907 Oak Tree Road, Suite 101",Edison,NJ,8820,"EDISON, NJ  08820",Middlesex,40.5757417,-74.3759415,"1907 Oak Tree Road, Suite 101, Edison, NJ, US"
NJ31C0001109,Ambulatory Surgical Center,R24600,Edison Surgery Center Llc,"10 Parsonage Road, Suite 206",Edison,NJ,8837,"EDISON, NJ  08837",Middlesex,40.5467251,-74.3314862,"10 Parsonage Road, Suite 206, Edison, NJ, US"
NJ90062,Ambulatory Surgical Center,R24675,Elite Surgical Center Llc,307 Hamburg Turnpike,Wayne,NJ,7470,"WAYNE, NJ  07470",Passaic,40.9483034,-74.2082318,"307 Hamburg Turnpike, Wayne, NJ, US"
NJ25179,End Stage Renal Dialysis,25179,Elmora Dialysis,547 Morris Avenue,Elizabeth,NJ,7208,"ELIZABETH, NJ  07208",Union,40.6737515,-74.223979,"547 Morris Avenue, Elizabeth, NJ, US"
NJ80026,Surgical Practice,R24552,Eltra Llc,"254 Columbia Tpke,   Suite 100",Florham Park,NJ,7932,"FLORHAM PARK, NJ  07932",Morris,40.789783,-74.4038824,"254 Columbia Tpke,   Suite 100, Florham Park, NJ, US"
NJ311556,Hospice Care Program,23087,Embracing Hospice Care Of New Jersey,"3349 Route 138, Building D, Suite F",Wall,NJ,7719,"WALL, NJ  07719",Monmouth,40.1673,-74.09717,"3349 Route 138, Building D, Suite F, Wall, NJ, US"
NJ22843,Ambulatory Care Facility,22843,Emergimed,663 Palisade Avenue,Cliffside Park,NJ,7010,"CLIFFSIDE PARK, NJ  07010",Bergen,40.825042,-73.983442,"663 Palisade Avenue, Cliffside Park, NJ, US"
NJ24184,Ambulatory Surgical Center,24184,Emmaus Surgical Center Llc,"57 Route 46, Suite 104",Hackettstown,NJ,7840,"HACKETTSTOWN, NJ  07840",Morris,40.85399,-74.82906,"57 Route 46, Suite 104, Hackettstown, NJ, US"
NJ22922,Comprehensive Rehabilitation Hospital,22922,Encompass Health Rehabilitation Hospital Of Tinton Falls,2 Centre Plaza,Tinton Falls,NJ,7724,"TINTON FALLS, NJ  07724",Monmouth,40.286311,-74.078685,"2 Centre Plaza, Tinton Falls, NJ, US"
NJ21525,Comprehensive Rehabilitation Hospital,21525,Encompass Health Rehabilitation Hospital Of Toms River,14 Hospital Drive,Toms River,NJ,8755,"TOMS RIVER, NJ  08755",Ocean,39.961306,-74.218249,"14 Hospital Drive, Toms River, NJ, US"
NJ22791,Comprehensive Rehabilitation Hospital,22791,Encompass Health Rehabilitation Hospital Of Vineland,1237 W Sherman Avenue,Vineland,NJ,8360,"VINELAND, NJ  08360",Cumberland,39.4450525,-75.0526494,"1237 W Sherman Avenue, Vineland, NJ, US"
NJ31C0001091,Ambulatory Surgical Center,R24499,Endo Surgi Center Of Old Bridge Llc,42 Throckmorton Lane,Old Bridge,NJ,8857,"OLD BRIDGE, NJ  08857",Middlesex,40.3976207,-74.3125812,"42 Throckmorton Lane, Old Bridge, NJ, US"
NJ24085,Ambulatory Surgical Center,24085,Endoscopy Center Of Bergen County,80 Eisenhower Drive,Paramus,NJ,7652,"PARAMUS, NJ  07652",Bergen,40.930501,-74.0786609,"80 Eisenhower Drive, Paramus, NJ, US"
NJ31C0001152,Ambulatory Surgical Center,23065,"Endoscopy Center Of Hackensack, Llc","170 Prospect Avenue, Suite 10",Hackensack,NJ,7601,"HACKENSACK, NJ  07601",Bergen,40.8887234,-74.0554596,"170 Prospect Avenue, Suite 10, Hackensack, NJ, US"
NJ31C0001033,Ambulatory Surgical Center,24273,Endoscopy Center Of Monmouth County,"222 Schanck Road, Suite 100",Freehold,NJ,7728,"FREEHOLD, NJ  07728",Monmouth,40.2374208,-74.2887749,"222 Schanck Road, Suite 100, Freehold, NJ, US"
NJ31C0001082,Surgical Practice,R24582,Endoscopy Center Of Ocean County,477 Lakehurst Road,Toms River,NJ,8755,"TOMS RIVER, NJ  08755",Ocean,39.9626449,-74.2207315,"477 Lakehurst Road, Toms River, NJ, US"
NJ90078,Surgical Practice,R24581,Endoscopy Center Of Toms River Llc,473 Lakehurst Road,Toms River,NJ,8755,"TOMS RIVER, NJ  08755",Ocean,39.9627317,-74.2208815,"473 Lakehurst Road, Toms River, NJ, US"
NJ31C0001068,Ambulatory Surgical Center,R24498,"Endo-Surgi Center, Pa",1201 Morris Avenue,Union,NJ,7083,"UNION, NJ  07083",Union,40.6941547,-74.2600415,"1201 Morris Avenue, Union, NJ, US"
NJ31C0001053,Ambulatory Surgical Center,22847,Endo-Surgical Center Of North Jersey,999 Clifton Avenue,Clifton,NJ,7013,"CLIFTON, NJ  07013",Passaic,40.865398,-74.160808,"999 Clifton Avenue, Clifton, NJ, US"
NJ24402,Ambulatory Care Facility,24402,"Englewood Diagnostic And Imaging Center, Llc","177 N Dean Street, Suite 202",Englewood,NJ,7631,"ENGLEWOOD, NJ  07631",Bergen,40.8994005,-73.9708449,"177 N Dean Street, Suite 202, Englewood, NJ, US"
NJ22236,End Stage Renal Dialysis,22236,Englewood Dialysis Center,"350 Engle Street, 1St Floor",Englewood,NJ,7631,"ENGLEWOOD, NJ  07631",Bergen,40.905315,-73.966775,"350 Engle Street, 1St Floor, Englewood, NJ, US"
NJ10202,General Acute Care Hospital,10202,Englewood Hospital And Medical Center,350 Engle St,Englewood,NJ,7631,"ENGLEWOOD, NJ  07631",Bergen,40.9040485,-73.9686295,"350 Engle St, Englewood, NJ, US"
NJR24629,Surgical Practice,R24629,"Englewood Surgery Center, Llc","140 Sylvan Avenue, Suite 101B",Englewood,NJ,7632,"ENGLEWOOD, NJ  07632",Bergen,40.8703198,-73.9562322,"140 Sylvan Avenue, Suite 101B, Englewood, NJ, US"
NJ25042,Hospice Care Program,25042,Ennoble Care Hospice Llc,"2 University Plaza Drive, Suite 204",Hackensack,NJ,7601,"HACKENSACK, NJ  07601",Bergen,40.895963,-74.038682,"2 University Plaza Drive, Suite 204, Hackensack, NJ, US"
NJ24185,Ambulatory Care Facility,24185,"Ent And Allergy Associates, L.L.P.",1211 Hamburg Turnpike,Wayne,NJ,7470,"WAYNE, NJ  07470",Passaic,40.960483,-74.2449235,"1211 Hamburg Turnpike, Wayne, NJ, US"
NJ50706,Psychiatric Hospital,50706,Essex County Hospital Center,204 Grove Avenue,Cedar Grove,NJ,7009,"CEDAR GROVE, NJ  07009",Essex,40.8422215,-74.2403221,"204 Grove Avenue, Cedar Grove, NJ, US"
NJ31C0001148,Ambulatory Surgical Center,22810,"Essex Endoscopy Center, L.L.C.",275 Chestnut Street,Newark,NJ,7105,"NEWARK, NJ  07105",Essex,40.7227727,-74.1642524,"275 Chestnut Street, Newark, NJ, US"
NJ31C0001156,Ambulatory Surgical Center,24309,Essex Specialized Surgical Institute,475 Prospect Avenue,West Orange,NJ,7052,"WEST ORANGE, NJ  07052",Essex,40.7905016,-74.255134,"475 Prospect Avenue, West Orange, NJ, US"
NJ90061,Surgical Practice,R24569,"Essex Surgical Arts Surgery Center, Llc",727 Joralemon Street,Belleville,NJ,7109,"BELLEVILLE, NJ  07109",Essex,40.804379,-74.172614,"727 Joralemon Street, Belleville, NJ, US"
NJ909049,Ambulatory Surgical Center,R24648,"Essex Surgical, L.L.C.",776 Northfield Avenue,West Orange,NJ,7052,"WEST ORANGE, NJ  07052",Essex,40.769044,-74.297262,"776 Northfield Avenue, West Orange, NJ, US"
NJ22353,Ambulatory Care Facility,22353,"Eva'S Village, Inc",20 Jackson Street,Paterson,NJ,7501,"PATERSON, NJ  07501",Passaic,40.9093756,-74.1704121,"20 Jackson Street, Paterson, NJ, US"
NJ311823,Federally Qualified Health Centers,22436,Ewing Health Center,112 Ewing Street,Trenton,NJ,8609,"TRENTON, NJ  08609",Mercer,40.2247707,-74.7564091,"112 Ewing Street, Trenton, NJ, US"
NJ31C0001014,Ambulatory Surgical Center,R24490,Eye And Laser Surgery Centers Of New Jersey L.L.C.,330 South Street,Morristown,NJ,7960,"MORRISTOWN, NJ  07960",Morris,40.784747,-74.468409,"330 South Street, Morristown, NJ, US"
NJ31C0001010,Ambulatory Surgical Center,R24624,Eye Physicians Of Sussex County,183 High Street,Newton,NJ,7860,"NEWTON, NJ  07860",Sussex,41.0550505,-74.766233,"183 High Street, Newton, NJ, US"
NJ31C0001012,Surgical Practice,R24575,"Eye Surgicenter Of New Jersey Llc, The",1205 North High Street,Millville,NJ,8332,"MILLVILLE, NJ  08332",Cumberland,39.4098613,-75.039577,"1205 North High Street, Millville, NJ, US"
NJ24271,Ambulatory Surgical Center,24271,Fair Lawn Asc Llc,15-01 Pollitt Drive - Ind Ctr 1 - Unit 8B,Fair Lawn,NJ,7410,"FAIR LAWN, NJ  07410",Bergen,40.943368,-74.127059,"15-01 Pollitt Drive - Ind Ctr 1 - Unit 8B, Fair Lawn, NJ, US"
NJ22535,Ambulatory Care Facility,22535,Fair Lawn Diagnostic Imaging Center,19-04 Fair Lawn Avenue,Fair Lawn,NJ,7410,"FAIR LAWN, NJ  07410",Bergen,40.9242474,-74.1398333,"19-04 Fair Lawn Avenue, Fair Lawn, NJ, US"
NJ1059,End Stage Renal Dialysis,24616,Fair Lawn Dialysis,18-01 Pollitt Drive,Fairlawn,NJ,7410,"FAIRLAWN, NJ  07410",Bergen,40.937526,-74.126759,"18-01 Pollitt Drive, Fairlawn, NJ, US"
NJ24939,Ambulatory Care Facility,24939,"Fairview Imaging Center, Inc",178 Bergen Boulevard,Fairview,NJ,7022,"FAIRVIEW, NJ  07022",Bergen,40.8142468,-74.0029892,"178 Bergen Boulevard, Fairview, NJ, US"
NJ70691,Ambulatory Care Facility - Satellite,70691,"Famcare, Inc.",30 Magnolia Avenue,Bridgeton,NJ,8302,"BRIDGETON, NJ  08302",Cumberland,39.4375546,-75.2203903,"30 Magnolia Avenue, Bridgeton, NJ, US"
NJ80401,Ambulatory Care Facility - Satellite,80401,"Famcare, Inc.",80 South Main Road,Vineland,NJ,8360,"VINELAND, NJ  08360",Cumberland,39.48355,-74.9997871,"80 South Main Road, Vineland, NJ, US"
NJ70891,Ambulatory Care Facility,70891,"Famcare, Inc.",711 North Main Street,Glassboro,NJ,8028,"GLASSBORO, NJ  08028",Gloucester,39.7149711,-75.1141842,"711 North Main Street, Glassboro, NJ, US"
NJ22208,Ambulatory Care Facility,22208,"Family Planning Center Of Ocean County, Inc.",290 River Avenue,Lakewood,NJ,8701,"LAKEWOOD, NJ  08701",Ocean,40.0515959,-74.2211138,"290 River Avenue, Lakewood, NJ, US"
NJ70170,Ambulatory Care Facility,70170,Federation Of Jewish Agencies Senior Citizens Medical Clinic,1102 Atlantic Avenue,Atlantic City,NJ,8401,"ATLANTIC CITY, NJ  08401",Atlantic,39.363374,-74.424707,"1102 Atlantic Avenue, Atlantic City, NJ, US"
NJ25032,Hospice Care Program,25032,Fellowship Garden State Hospice,8000 Fellowship Road,Basking Ridge,NJ,7920,"BASKING RIDGE, NJ  07920",Somerset,40.654802,-74.580435,"8000 Fellowship Road, Basking Ridge, NJ, US"
NJ24166,Ambulatory Surgical Center,24166,Fellowship Surgical Center Llc,"715 Fellowship Road, Suite A",Mount Laurel,NJ,8054,"MOUNT LAUREL, NJ  08054",Burlington,39.926041,-74.963218,"715 Fellowship Road, Suite A, Mount Laurel, NJ, US"
NJR24640,Surgical Practice,R24640,Fertility Institute Of Nj,"680 Kinderkamack Road, Suite 200",Oradell,NJ,7649,"ORADELL, NJ  07649",Bergen,40.9632212,-74.0300572,"680 Kinderkamack Road, Suite 200, Oradell, NJ, US"
NJR24754,Ambulatory Surgical Center,R24754,"First Gi Endoscopy And Surgery Center, Llc","44 State Route 23, Suite 1",Riverdale,NJ,7457,"RIVERDALE, NJ  07457",Morris,40.984981,-74.303398,"44 State Route 23, Suite 1, Riverdale, NJ, US"
NJ24987,Hospice Care Program,24987,"First Response Hospice Care, Inc.","57 Brant Avenue, Suite 100",Clark,NJ,7066,"CLARK, NJ  07066",Union,40.624326,-74.304277,"57 Brant Avenue, Suite 100, Clark, NJ, US"
NJ31C0001122,Ambulatory Surgical Center,22749,Florham Park Endoscopy,195 Columbia Turnpike,Florham Park,NJ,7932,"FLORHAM PARK, NJ  07932",Morris,40.7885641,-74.3941852,"195 Columbia Turnpike, Florham Park, NJ, US"
NJ24260,Ambulatory Surgical Center,24260,Florham Park Surgery Center,"83 Hanover Road, Suite 100",Florham Park,NJ,7932,"FLORHAM PARK, NJ  07932",Morris,40.790842,-74.380752,"83 Hanover Road, Suite 100, Florham Park, NJ, US"
NJ22309,End Stage Renal Dialysis,22309,Fmc Dialysis Services Kings Court,"2 Kings Court, Suite 100",Flemington,NJ,8822,"FLEMINGTON, NJ  08822",Hunterdon,40.510856,-74.840682,"2 Kings Court, Suite 100, Flemington, NJ, US"
NJ312503,End Stage Renal Dialysis,40705,Fmc Dialysis Services Of North Newark,155 Berkley Avenue,Newark,NJ,7107,"NEWARK, NJ  07107",Essex,40.770937,-74.178289,"155 Berkley Avenue, Newark, NJ, US"
NJ24654,End Stage Renal Dialysis,24654,Fmc Hackensack,458 Passaic Street,Hackensack,NJ,7601,"HACKENSACK, NJ  07601",Bergen,40.8993801,-74.0561385,"458 Passaic Street, Hackensack, NJ, US"
NJ24717,End Stage Renal Dialysis,24762,Fmc North Cape May,3301 Bayshore Road,North Cape May,NJ,8204,"NORTH CAPE MAY, NJ  08204",Cape May,38.992371,-74.936063,"3301 Bayshore Road, North Cape May, NJ, US"
NJ41501,End Stage Renal Dialysis,41501,Fmc-John J Depalma Renal Center,1 Plaza Drive,Toms River,NJ,8757,"TOMS RIVER, NJ  08757",Ocean,39.968923,-74.242939,"1 Plaza Drive, Toms River, NJ, US"
NJ1226,"Hospital-Based, Off-Site Ambulatory Care Facility",1226,For Keeps Children'S Acute Partial Hospitalization,123 How Lane,New Brunswick,NJ,8901,"NEW BRUNSWICK, NJ  08901",Middlesex,40.470572,-74.48273,"123 How Lane, New Brunswick, NJ, US"
NJ25086,End Stage Renal Dialysis,25086,Franklin Park Dialysis,"3079 State Route 27, Unit H",Franklin Park,NJ,8823,"FRANKLIN PARK, NJ  08823",Somerset,40.437507,-74.538144,"3079 State Route 27, Unit H, Franklin Park, NJ, US"
