Facility_Name,Type,Street_Address,City,Zip,County,State,Facility Location,Latitude,Longitude
"Aurora Senior Living of Norwalk, LLC",Nursing Facility,34 Midrocks Road,Norwalk,,Fairfield,CT,POINT (-73.415254 41.142315),41.142315,-73.415254
Northbridge Healthcare Center,Nursing Facility,2875 Main Street,Bridgeport,,Fairfield,CT,POINT (-73.203493 41.201508),41.201508,-73.203493
Kimberly Hall North,Nursing Facility,1 Emerson Drive,Windsor,,Hartford,CT,POINT (-72.666767 41.837832),41.837832,-72.666767
Northbridge Healthcare Center,Nursing Facility,2875 Main Street,Bridgeport,,Fairfield,CT,POINT (-73.203493 41.201508),41.201508,-73.203493
RegalCare at Greenwich,Nursing Facility,1188 King Street,Greenwich,,Fairfield,CT,POINT (-73.69491 41.062693),41.062693,-73.69491
Farmington Rehab Center LLC/dba Amberwoods,Nursing Facility,416 Colt Highway,Farmington,,Hartford,CT,POINT (-72.801542 41.715385),41.715385,-72.801542
"The Springs at Watermark, East Hill",Nursing Facility,611 East Hill Road,Southbury,,New Haven,CT,POINT (-73.241049 41.485015),41.485015,-73.241049
Village Crest Center for Health and Rehabilitation,Nursing Facility,19 Poplar Street,New Milford,,Litchfield,CT,POINT (-73.408736 41.58294),41.58294,-73.408736
Village Green of Bristol Rehabilitation and Health Center,Nursing Facility,23 Fair Street,Bristol,,Hartford,CT,POINT (-72.902506 41.679856),41.679856,-72.902506
Riverside Health and Rehabilitation Center,Nursing Facility,745 Main Street,East Hartford,,Hartford,CT,POINT (-72.64546 41.766505),41.766505,-72.64546
Meridian Manor Corporation,Nursing Facility,1132 Meriden Road,Waterbury,,New Haven,CT,POINT (-72.981851 41.552609),41.552609,-72.981851
Bayview Health Care,Nursing Facility,301 Rope Ferry Road,Waterford,,New London,CT,POINT (-72.165413 41.327443),41.327443,-72.165413
Cherry Brook Health Care Center,Nursing Facility,102 Dyer Avenue,Collinsville,,Hartford,CT,POINT (-72.919257 41.83171500000001),41.831715,-72.919257
Parkway Pavilion Health and Rehabilitation Center,Nursing Facility,1157 Enfield Street,Enfield,,Hartford,CT,POINT (-72.593179 41.986582),41.986582,-72.593179
Apple Rehab Guilford,Nursing Facility,10 Boston Post Road,Guilford,,New Haven,CT,POINT (-72.64783 41.285595),41.285595,-72.64783
The Nathaniel Witherell,Nursing Facility,70 Parsonage Road,Greenwich,,Fairfield,CT,POINT (-73.624382 41.059487),41.059487,-73.624382
Cassena Care of Stamford,Nursing Facility,53 Courtland Avenue,Stamford,,Fairfield,CT,POINT (-73.514114 41.060582),41.060582,-73.514114
Rose Garden Health & Rehabilitation Center,Nursing Facility,3584 East Main Street,Waterbury,,New Haven,CT,POINT (-72.968432 41.542733),41.542733,-72.968432
Newtown Rehabilitation and Health Care Center,Nursing Facility,139 Toddy Hill Road,Newtown,,Fairfield,CT,POINT (-73.258982 41.382079),41.382079,-73.258982
Apple Rehab Guilford,Nursing Facility,10 Boston Post Road,Guilford,,New Haven,CT,POINT (-72.64783 41.285595),41.285595,-72.64783
Twin Maples Health Care Facility,Nursing Facility,"809 R New Haven Road,  P.O. Box 423",Durham,,Middlesex,CT,POINT (-72.720881 41.436968),41.436968,-72.720881
"Elim Park Baptist Home, Inc.",Nursing Facility,140 Cook Hill Road,Cheshire,,New Haven,CT,POINT (-72.900936 41.466811),41.466811,-72.900936
Pilgrim Manor,Nursing Facility,52 Missionary Road,Cromwell,,Middlesex,CT,POINT (-72.660908 41.600427),41.600427,-72.660908
RegalCare at Torrington,Nursing Facility,80 Fern Drive,Torrington,,Litchfield,CT,POINT (-73.109 41.81049),41.81049,-73.109
The Curtis Home,Nursing Facility,380 Crown Street,Meriden,,New Haven,CT,POINT (-72.805239 41.528723),41.528723,-72.805239
Securecare Options Inc. dba 60 West,Nursing Facility,60 West Street,Rocky Hill,,Hartford,CT,POINT (-72.643245 41.65413000000001),41.65413,-72.643245
Apple Rehab Guilford,Nursing Facility,10 Boston Post Road,Guilford,,New Haven,CT,POINT (-72.64783 41.285595),41.285595,-72.64783
Vernon Manor Health Care Center,Nursing Facility,180 Regan Road,Vernon,,Tolland,CT,POINT (-72.477917 41.852217),41.852217,-72.477917
Hancock Hall,Nursing Facility,31 Staples Street,Danbury,,Fairfield,CT,POINT (-73.47369 41.39683),41.39683,-73.47369
"Westview Nursing Care & Rehabilitation Center, Inc.",Nursing Facility,150 Ware Road,Dayville,,Windham,CT,POINT (-71.872542 41.880358),41.880358,-71.872542
Apple Rehab Middletown (dba Highview Health Care Center),Nursing Facility,600 Highland Avenue,Middletown,,Middlesex,CT,POINT (-72.654814 41.532381),41.532381,-72.654814
Groton Regency Center,Nursing Facility,1145 Poquonnock Road,Groton,,New London,CT,POINT (-72.043241 41.346698),41.346698,-72.043241
Litchfield Woods Health Care Center,Nursing Facility,255 Roberts Street,Torrington,,Litchfield,CT,POINT (-73.141224 41.808768),41.808768,-73.141224
"Wolcott Hall Nursing Center, Inc.",Nursing Facility,215 Forest Street,Torrington,,Litchfield,CT,POINT (-73.128142 41.80896),41.80896,-73.128142
Pomperaug Woods Health Center,Nursing Facility,80 Heritage Road,Southbury,,New Haven,CT,POINT (-73.217482 41.482196),41.482196,-73.217482
Village Green of Bristol Rehabilitation and Health Center,Nursing Facility,23 Fair Street,Forestville,,Hartford,CT,POINT (-72.902506 41.679856),41.679856,-72.902506
Apple Rehab Uncasville,Nursing Facility,5 Richard Brown Drive,Uncasville,,New London,CT,POINT (-72.112266 41.49273),41.49273,-72.112266
Regency House of Wallingford,Nursing Facility,181 East Main Street,Wallingford,,New Haven,CT,POINT (-72.799632 41.454112),41.454112,-72.799632
RegalCare at New Haven,Nursing Facility,181 Clifton Street,New Haven,,New Haven,CT,POINT (-72.878853 41.309366),41.309366,-72.878853
Governor's House,Nursing Facility,36 Firetown Road,Simsbury,,Hartford,CT,POINT (-72.811606 41.872974),41.872974,-72.811606
Maple View Center for Health and Rehabilitation,Nursing Facility,856 Maple Street,Rocky Hill,,Hartford,CT,POINT (-72.666639 41.673965),41.673965,-72.666639
St. Camillus Center,Nursing Facility,494 Elm Street,Stamford,,Fairfield,CT,POINT (-73.526723 41.049972),41.049972,-73.526723
"Elim Park Baptist Home, Inc.",Nursing Facility,140 Cook Hill Road,Cheshire,,New Haven,CT,POINT (-72.900936 41.466811),41.466811,-72.900936
Apple Rehab West Haven,Nursing Facility,308 Savin Avenue,West Haven,,New Haven,CT,POINT (-72.950838 41.260554),41.260554,-72.950838
Avalon Health Care Center at StoneRidge,Nursing Facility,186 Jerry Browne Road,Mystic,,New London,CT,POINT (-71.949571 41.37512000000001),41.37512,-71.949571
"Paradigm Healthcare Center of Torrington, LLC",Nursing Facility,80 Fern Drive,Torrington,,Litchfield,CT,POINT (-73.109 41.81049),41.81049,-73.109
Bride Brook Health and Rehabilitation Center,Nursing Facility,23 Liberty Way,Niantic,,New London,CT,POINT (-72.24337 41.320823),41.320823,-72.24337
Cook-Willow Health & Rehabilitation Center,Nursing Facility,81 Hillside Avenue,Plymouth,,Litchfield,CT,POINT (-73.059106 41.667181),41.667181,-73.059106
Valerie Manor,Nursing Facility,1360 Torringford Street,Torrington,,Litchfield,CT,POINT (-73.079132 41.827508),41.827508,-73.079132
The Reservoir,Nursing Facility,1 Emily Way,West Hartford,,Hartford,CT,POINT (-72.77641 41.74291),41.74291,-72.77641
Village Crest Center for Health and Rehabilitation,Nursing Facility,19 Poplar Street,New Milford,,Litchfield,CT,POINT (-73.408736 41.58294),41.58294,-73.408736
Bridgeport Manor,Nursing Facility,540 Bond Street,Bridgeport,,Fairfield,CT,POINT (-73.167085 41.200764),41.200764,-73.167085
Douglas Manor,Nursing Facility,103 North Road,Windham,,Windham,CT,POINT (-72.163347 41.705233),41.705233,-72.163347
Southington Care Center,Nursing Facility,45 Meriden Avenue,Southington,,Hartford,CT,POINT (-72.876623 41.59615),41.59615,-72.876623
Wolcott View Manor,Nursing Facility,50 Beach Road,Wolcott,,New Haven,CT,POINT (-72.989834 41.605219000000005),41.605219,-72.989834
Cook-Willow Health Center,Nursing Facility,81 Hillside Avenue,Plymouth,,Litchfield,CT,POINT (-73.059106 41.667181),41.667181,-73.059106
Long Ridge Post-Acute Care,Nursing Facility,710 Long Ridge Road,Stamford,,Fairfield,CT,POINT (-73.563222 41.095003),41.095003,-73.563222
Long Ridge Post-Acute Care,Nursing Facility,710 Long Ridge Road,Stamford,,Fairfield,CT,POINT (-73.563222 41.095003),41.095003,-73.563222
Chamberlain Healthcare,Nursing Facility,7003 Main Street,Stratford,,Fairfield,CT,POINT (-73.100682 41.251009),41.251009,-73.100682
"The Mary Wade Home, Inc.",Nursing Facility,118 Clinton Avenue,New Haven,,New Haven,CT,POINT (-72.891247 41.312612),41.312612,-72.891247
Apple Rehab Laurel Woods,Nursing Facility,451 North High Street,East Haven,,New Haven,CT,POINT (-72.866922 41.292497),41.292497,-72.866922
Cheshire House Health Care Facility & Rehabilitation,Nursing Facility,3396 East Main Street,Waterbury,,New Haven,CT,POINT (-72.977713 41.544185),41.544185,-72.977713
Parkville Care Center,Nursing Facility,5 Greenwood Street,Hartford,,Hartford,CT,POINT (-72.709971 41.754837),41.754837,-72.709971
Blair Manor,Nursing Facility,612 Hazard Avenue,Enfield,,Hartford,CT,POINT (-72.506893 41.98519),41.98519,-72.506893
Evergreen Woods Health Center,Nursing Facility,88 Notch Hill Road,North Branford,,New Haven,CT,POINT (-72.751087 41.317083),41.317083,-72.751087
West River Rehabilitation Center,Nursing Facility,245 Orange Avenue,Milford,,New Haven,CT,POINT (-73.050224 41.237712),41.237712,-73.050224
Salmon Brook Rehab and Nursing,Nursing Facility,72 Slamon Brook Drive,Glastonbury,,Hartford,CT,POINT (-72.603458 41.716521),41.716521,-72.603458
Waveny Care Center,Nursing Facility,3 Farm Road,New Canaan,,Fairfield,CT,POINT (-73.493667 41.128529),41.128529,-73.493667
Maple View Health and Rehabilitation,Nursing Facility,856 Maple Street,Rocky Hill,,Hartford,CT,POINT (-72.666639 41.673965),41.673965,-72.666639
Avon Health Center,Nursing Facility,652 West Avon Road,Avon,,Hartford,CT,POINT (-72.861534 41.773418),41.773418,-72.861534
Touchpoints at Bloomfield,Nursing Facility,140 Park Avenue,Bloomfield,,Hartford,CT,POINT (-72.703607 41.822945),41.822945,-72.703607
Montowese Health & Rehabilitation Center,Nursing Facility,163 Quinnipiac Avenue,North Haven,,New Haven,CT,POINT (-72.863569 41.346922),41.346922,-72.863569
"Monsignor Bojnowski Manor, Inc",Nursing Facility,50 Pulaski Street,New Britain,,Hartford,CT,POINT (-72.798371 41.675475),41.675475,-72.798371
RegalCare at New Haven,Nursing Facility,181 Clifton Street,New Haven,,New Haven,CT,POINT (-72.878853 41.309366),41.309366,-72.878853
The Willows,Nursing Facility,225 Amity Road,Woodbridge,,New Haven,CT,POINT (-72.983417 41.342128),41.342128,-72.983417
Amberwoods of Farmington,Nursing Facility,416 Colt Highway,Farmington,,Hartford,CT,POINT (-72.801542 41.715385),41.715385,-72.801542
"Hughes Health and Rehabilitation, Inc.",Nursing Facility,29 Highland Street,West Hartford,,Hartford,CT,POINT (-72.718027 41.767504),41.767504,-72.718027
"Aurora Senior Living of Norwalk, LLC",Nursing Facility,34 Midrocks Road,Norwalk,,Fairfield,CT,POINT (-73.415254 41.142315),41.142315,-73.415254
Birmingham Health Center,Nursing Facility,210 Chatfield Street,Derby,,New Haven,CT,POINT (-73.09526 41.33828),41.33828,-73.09526
"Westview Nursing Care & Rehabilitation Center, Inc.",Nursing Facility,150 Ware Road,Dayville,,Windham,CT,POINT (-71.872542 41.880358),41.880358,-71.872542
Madison House,Nursing Facility,34 Wildwood Avenue,Madison,,New Haven,CT,POINT (-72.638357 41.287548),41.287548,-72.638357
Westport Health Care Center,Nursing Facility,1 Burr Road,Westport,,Fairfield,CT,POINT (-73.367176 41.136945),41.136945,-73.367176
Bel-Air Manor Nursing & Rehabilitation Center,Nursing Facility,256 New Britain Avenue,Newington,,Hartford,CT,POINT (-72.73245 41.674685),41.674685,-72.73245
Fairview,Nursing Facility,235 Lestertown Road,Groton,,New London,CT,POINT (-72.083057 41.372077),41.372077,-72.083057
Skyview Rehab and Nursing,Nursing Facility,35 Marc Drive,Wallingford,,New Haven,CT,POINT (-72.846279 41.453355),41.453355,-72.846279
"Holy Spirit Health Care Center, Inc.",Nursing Facility,72 Church Street,Putnam,,Windham,CT,POINT (-71.913047 41.917444),41.917444,-71.913047
Amberwoods of Farmington,Nursing Facility,416 Colt Highway,Farmington,,Hartford,CT,POINT (-72.801542 41.715385),41.715385,-72.801542
Paradigm at Bentley Gardens,Nursing Facility,310 Terrace Avenue,West Haven,,New Haven,CT,POINT (-72.969025 41.283035),41.283035,-72.969025
Branford Hills Health Care Center,Nursing Facility,189 Alps Road,Branford,,New Haven,CT,POINT (-72.846696 41.264185),41.264185,-72.846696
Wadsworth Glen Health Care Center,Nursing Facility,30 Boston Road,Middletown,,Middlesex,CT,POINT (-72.676519 41.554164),41.554164,-72.676519
Yale Health In-Patient Care,Nursing Facility,"55 Lock Street, P.O. Box 208237",New Haven,,New Haven,CT,POINT (-72.928332 41.31551),41.31551,-72.928332
JACC Healthcare of Windham DBA Vanderman Place,Nursing Facility,595 Valley Street,Willimantic,,Windham,CT,POINT (-72.229126 41.716836),41.716836,-72.229126
"Carolton Chronic & Convalescent Hospital, Inc.",Nursing Facility,400 Mill Plain Road,Fairfield,,Fairfield,CT,POINT (-73.265827 41.14486),41.14486,-73.265827
Westfield Care and Rehabilitation Center,Nursing Facility,65 Westfield Road,Meriden,,New Haven,CT,POINT (-72.780579 41.547965),41.547965,-72.780579
McLean Health Center,Nursing Facility,75 Great Pond Road,Simsbury,,Hartford,CT,POINT (-72.824809 41.885251),41.885251,-72.824809
Brookview Corp.  d/b/a West Hartford Health and Rehabilitation Center,Nursing Facility,130 Loomis Drive,West Hartford,,Hartford,CT,POINT (-72.73995 41.76687),41.76687,-72.73995
The Guilford House,Nursing Facility,109 West Lake Avenue,Guilford,,New Haven,CT,POINT (-72.725116 41.311477),41.311477,-72.725116
St. Joseph's Center,Nursing Facility,6448 Main Street,Trumbull,,Fairfield,CT,POINT (-73.226931 41.27423),41.27423,-73.226931
Apple Rehab Avon,Nursing Facility,220 Scoville Road,Avon,,Hartford,CT,POINT (-72.860962 41.7759),41.7759,-72.860962
Village Green of Waterbury Rehabilitation and Health Center,Nursing Facility,128 Cedar Avenue,Waterbury,,New Haven,CT,POINT (-72.996781 41.549392),41.549392,-72.996781
The Nathaniel Witherell,Nursing Facility,70 Parsonage Road,Greenwich,,Fairfield,CT,POINT (-73.624382 41.059487),41.059487,-73.624382
Touchpoints at Bloomfield,Nursing Facility,140 Park Avenue,Bloomfield,,Hartford,CT,POINT (-72.703607 41.822945),41.822945,-72.703607
"Villa Maria Nursing and Rehabilitation Community, Inc.",Nursing Facility,20 Babcock Avenue,Plainfield,,Windham,CT,POINT (-71.917758 41.678696),41.678696,-71.917758
The Curtis Home,Nursing Facility,380 Crown Street,Meriden,,New Haven,CT,POINT (-72.805239 41.528723),41.528723,-72.805239
"Parkside Rehabilitation & Healthcare Center, d/b/a Grandview Rehabilitation and Healthcare Center",Nursing Facility,55 Grand Street,New Britain,,Hartford,CT,POINT (-72.785102 41.662108),41.662108,-72.785102
The Villa at Stamford,Nursing Facility,88 Rock Rimmon Road,Stamford,,Fairfield,CT,POINT (-73.5614 41.13995800000001),41.139958,-73.5614
Ludlowe Center for Health and Rehabilitation,Nursing Facility,118 Jefferson Street,Fairfield,,Fairfield,CT,POINT (-73.24397 41.223753),41.223753,-73.24397
CT Watermark at East Hill-Springs,Nursing Facility,611 East Hill Road,Southbury,,New Haven,CT,POINT (-73.241049 41.485015),41.485015,-73.241049
Evergreen Woods Health Center,Nursing Facility,88 Notch Hill Road,North Branford,,New Haven,CT,POINT (-72.751087 41.317083),41.317083,-72.751087
Bride Brook Health and Rehabilitation Center,Nursing Facility,23 Liberty Way,Niantic,,New London,CT,POINT (-72.24337 41.320823),41.320823,-72.24337
Walnut Hill Care Center,Nursing Facility,55 Grand Street,New Britain,,Hartford,CT,POINT (-72.785102 41.662108),41.662108,-72.785102
"Fairview Healthcare of Southport, LLC",Nursing Facility,930 Mill Hill Terrace,Southport,,Fairfield,CT,POINT (-73.286615 41.144380000000005),41.14438,-73.286615
The Lutheran Home of Southbury,Nursing Facility,990 Main Street North,Southbury,,New Haven,CT,POINT (-73.21103 41.504094),41.504094,-73.21103
Douglas Manor,Nursing Facility,103 North Road,Windham,,Windham,CT,POINT (-72.163347 41.705233),41.705233,-72.163347
Harrington Court,Nursing Facility,59 Harrington Court Drive,Colchester,,New London,CT,POINT (-72.33103 41.577988),41.577988,-72.33103
Essex Meadows Health Center,Nursing Facility,30 Bokum Road,Essex,,Middlesex,CT,POINT (-72.410763 41.338327),41.338327,-72.410763
RegalCare at Greenwich,Nursing Facility,1188 King Street,Greenwich,,Fairfield,CT,POINT (-73.69491 41.062693),41.062693,-73.69491
"Grove Manor Nursing Home, Inc.",Nursing Facility,145 Grove Street,Waterbury,,New Haven,CT,POINT (-73.04124700000001 41.559964),41.559964,-73.041247
"Rose Haven, Ltd.",Nursing Facility,"33 North Street,  P.O. Box 157",Litchfield,,Litchfield,CT,POINT (-72.718334 41.497878),41.497878,-72.718334
"Fairview Healthcare of Southport, LLC",Nursing Facility,930 Mill Hill Terrace,Southport,,Fairfield,CT,POINT (-73.286615 41.144380000000005),41.14438,-73.286615
Andrew House,Nursing Facility,66 Clinic Drive,New Britain,,Hartford,CT,POINT (-72.786309 41.648365),41.648365,-72.786309
River Glen Health Care Center,Nursing Facility,162 South Britain Road,Southbury,,New Haven,CT,POINT (-73.238498 41.461186),41.461186,-73.238498
The Willows,Nursing Facility,225 Amity Road,Woodbridge,,New Haven,CT,POINT (-72.983417 41.342128),41.342128,-72.983417
"Glastonbury Health Care Center, Inc.",Nursing Facility,1175 Hebron Avenue,Glastonbury,,Hartford,CT,POINT (-72.565754 41.71823),41.71823,-72.565754
Countryside Manor of Bristol,Nursing Facility,1660 Stafford Avenue,Bristol,,Hartford,CT,POINT (-72.91463 41.721245),41.721245,-72.91463
RegalCare at Torrington,Nursing Facility,80 Fern Drive,Torrington,,Litchfield,CT,POINT (-73.109 41.81049),41.81049,-73.109
Seabury Health Center,Nursing Facility,200 Seabury Drive,Bloomfield,,Hartford,CT,POINT (-72.706488 41.833335),41.833335,-72.706488
Bel-Air Manor Nursing & Rehabilitation Center,Nursing Facility,256 New Britain Avenue,Newington,,Hartford,CT,POINT (-72.73245 41.674685),41.674685,-72.73245
Touchpoints at Manchester,Nursing Facility,333 Bidwell Street,Manchester,,Hartford,CT,POINT (-72.545849 41.759594),41.759594,-72.545849
Jewish Senior Services,Nursing Facility,4200 Park Avenue,Bridgeport,,Fairfield,CT,POINT (-73.23149 41.212038),41.212038,-73.23149
Meriden Center,Nursing Facility,845 Paddock Avenue,Meriden,,New Haven,CT,POINT (-72.777296 41.50681),41.50681,-72.777296
Cambridge Manor,Nursing Facility,2428 Easton Turnpike,Fairfield,,Fairfield,CT,POINT (-73.246284 41.211641),41.211641,-73.246284
Mystic Healthcare and Rehabilitation Center,Nursing Facility,475 High Street,Mystic,,New London,CT,POINT (-71.974014 41.364388),41.364388,-71.974014
The Villa at Stamford,Nursing Facility,88 Rock Rimmon Road,Stamford,,Fairfield,CT,POINT (-73.5614 41.13995800000001),41.139958,-73.5614
"Windsor Health and Rehabilitation Center, LLC",Nursing Facility,581 Poquonock Avenue,Windsor,,Hartford,CT,POINT (-72.658685 41.86911),41.86911,-72.658685
Cassena Care at Norwalk,Nursing Facility,23 Prospect Avenue,Norwalk,,Fairfield,CT,POINT (-73.422102 41.114044),41.114044,-73.422102
Douglas Manor,Nursing Facility,103 North Road,Windham,,Windham,CT,POINT (-72.163347 41.705233),41.705233,-72.163347
"Marlborough Health Center, Inc.",Nursing Facility,85 Stage Harbor Road,Marlborough,,Hartford,CT,POINT (-72.476829 41.652591),41.652591,-72.476829
Avon Health Center,Nursing Facility,652 West Avon Road,Avon,,Hartford,CT,POINT (-72.861534 41.773418),41.773418,-72.861534
Whispering Pines Rehabilitation and Nursing Center LLC,Nursing Facility,38 Talmadge Avenue,East Haven,,New Haven,CT,POINT (-72.86361 41.263459),41.263459,-72.86361
Regency Heights of Norwich,Nursing Facility,60 Crouch Avenue,Norwich,,New London,CT,POINT (-72.072157 41.504801),41.504801,-72.072157
"Mary Wade Home, Inc.",Nursing Facility,118 Clinton Avenue,New Haven,,New Haven,CT,POINT (-72.891247 41.312612),41.312612,-72.891247
Newtown Rehabilitation and Health Care Center,Nursing Facility,139 Toddy Hill Road,Newtown,,Fairfield,CT,POINT (-73.258982 41.382079),41.382079,-73.258982
Cherry Brook Health Care Center,Nursing Facility,102 Dyer Avenue,Canton,,Hartford,CT,POINT (-72.919257 41.83171500000001),41.831715,-72.919257
Greentree Manor Nursing and Rehabilitation Center,Nursing Facility,4 Greentree Drive,Waterford,,New London,CT,POINT (-72.145458 41.394072),41.394072,-72.145458
Pomperaug Woods Health Center,Nursing Facility,80 Heritage Road,Southbury,,New Haven,CT,POINT (-73.217482 41.482196),41.482196,-73.217482
"Mattatuck Health Care Facility, Inc.",Nursing Facility,9 Cliff Street,Waterbury,,New Haven,CT,POINT (-73.045851 41.560756),41.560756,-73.045851
"Middlebury Convalescent Home, Inc.",Nursing Facility,778 Middlebury Road,Middlebury,,New Haven,CT,POINT (-73.115064 41.537781),41.537781,-73.115064
Wadsworth Glen Health Care Center,Nursing Facility,30 Boston Road,Middletown,,Middlesex,CT,POINT (-72.676519 41.554164),41.554164,-72.676519
"Connecticut Baptist Homes, Inc.",Nursing Facility,292 Thorpe Avenue,Meriden,,New Haven,CT,POINT (-72.75518000000001 41.515835),41.515835,-72.75518
Ingraham Manor,Nursing Facility,400 North Main Street,Bristol,,Hartford,CT,POINT (-72.947179 41.67921400000001),41.679214,-72.947179
"Paradigm Healthcare Center Prospect, LLC",Nursing Facility,25 Royal Crest Drive,Prospect,,New Haven,CT,POINT (-72.972096 41.513545),41.513545,-72.972096
Hancock Hall,Nursing Facility,31 Staples Street,Danbury,,Fairfield,CT,POINT (-73.47369 41.39683),41.39683,-73.47369
Skyview Rehab and Nursing,Nursing Facility,35 Marc Drive,Wallingford,,New Haven,CT,POINT (-72.846279 41.453355),41.453355,-72.846279
Ridge Crest at Meadow Ridge,Nursing Facility,100 Redding Road,Redding,,Fairfield,CT,POINT (-73.425508 41.263538),41.263538,-73.425508
Marlborough Health and Rehabilitation Center,Nursing Facility,85 Stage Harbor Road,Marlborough,,Hartford,CT,POINT (-72.476829 41.652591),41.652591,-72.476829
Seabury Health Center,Nursing Facility,200 Seabury Drive,Bloomfield,,Hartford,CT,POINT (-72.706488 41.833335),41.833335,-72.706488
Avon Health Center,Nursing Facility,652 West Avon Road,Avon,,Hartford,CT,POINT (-72.861534 41.773418),41.773418,-72.861534
Waterbury Gardens Nursing and Rehab,Nursing Facility,128 Cedar Avenue,Waterbury,,New Haven,CT,POINT (-72.996781 41.549392),41.549392,-72.996781
Norwich Sub-acute and Nursing,Nursing Facility,93 West Town Street,Norwich,,New London,CT,POINT (-72.102507 41.551457),41.551457,-72.102507
West River Health Care Center,Nursing Facility,245 Orange Avenue,Milford,,New Haven,CT,POINT (-73.050224 41.237712),41.237712,-73.050224
Meadow Ridge,Nursing Facility,100 Redding Road,Redding,,Fairfield,CT,POINT (-73.425508 41.263538),41.263538,-73.425508
Beechwood,Nursing Facility,31 Vauxhall Street,New London,,New London,CT,POINT (-72.104438 41.361035),41.361035,-72.104438
Branford Hills Health Care Center,Nursing Facility,189 Alps Road,Branford,,New Haven,CT,POINT (-72.846696 41.264185),41.264185,-72.846696
RegalCare at Prospect,Nursing Facility,25 Royal Crest Drive,Prospect,,New Haven,CT,POINT (-72.972096 41.513545),41.513545,-72.972096
Lord Chamberlain Manor,Nursing Facility,7003 Main Street,Stratford,,Fairfield,CT,POINT (-73.100682 41.251009),41.251009,-73.100682
Woodlake at Tolland,Nursing Facility,26 Shenipsit Lake Road,Tolland,,Tolland,CT,POINT (-72.414389 41.871808),41.871808,-72.414389
New London Sub-Acute and Nursing,Nursing Facility,88 Clark Lane,Waterford,,New London,CT,POINT (-72.127527 41.34864),41.34864,-72.127527
"Matulaitis Nursing Home, Inc.",Nursing Facility,10 Thurber Road,Putnam,,Windham,CT,POINT (-71.855438 41.927854),41.927854,-71.855438
"Westview Nursing Care & Rehabilitation Center, Inc.",Nursing Facility,150 Ware Road,Dayville,,Windham,CT,POINT (-71.872542 41.880358),41.880358,-71.872542
Filosa for Nursing and Rehabilitation,Nursing Facility,13 Hakim Street,Danbury,,Fairfield,CT,POINT (-73.473539 41.395415),41.395415,-73.473539
Watrous Nursing Center,Nursing Facility,9 Neck Road,Madison,,New Haven,CT,POINT (-72.62663300000001 41.277675),41.277675,-72.626633
"Westside Care Center, LLC",Nursing Facility,349 Bidwell Street,Manchester,,Hartford,CT,POINT (-72.544459 41.759532),41.759532,-72.544459
Chestelm Health and Rehabilitation Center,Nursing Facility,"534 Town Street, P.O. Box 719",Moodus,,Middlesex,CT,POINT (-72.446752 41.485388),41.485388,-72.446752
"Pierce Memorial Baptist Home, Inc.",Nursing Facility,"44 Canterbury Road,  P.O. Box 326",Brooklyn,,Windham,CT,POINT (-71.949585 41.78502),41.78502,-71.949585
"Ledgecrest Health Care Center, Inc.",Nursing Facility,154 Kensington Road,Kensington,,Hartford,CT,POINT (-72.769758 41.629581),41.629581,-72.769758
Apple Rehab Coccomo,Nursing Facility,33 Cone Avenue,Meriden,,New Haven,CT,POINT (-72.752952 41.524968),41.524968,-72.752952
Ludlowe Center for Health and Rehabilitation,Nursing Facility,118 Jefferson Street,Fairfield,,Fairfield,CT,POINT (-73.24397 41.223753),41.223753,-73.24397
"Windsor Health and Rehabilitation Center, LLC",Nursing Facility,581 Poquonock Avenue,Windsor,,Hartford,CT,POINT (-72.658685 41.86911),41.86911,-72.658685
"JACC Healthcare Center of Norwich, LLC Three Rivers",Nursing Facility,60 Crouch Avenue,Norwich,,New London,CT,POINT (-72.072157 41.504801),41.504801,-72.072157
"Monsignor Bojnowski Manor, Inc",Nursing Facility,50 Pulaski Street,New Britain,,Hartford,CT,POINT (-72.798371 41.675475),41.675475,-72.798371
Aurora Senior Living of New Britain,Nursing Facility,400 Brittany Farms Road,New Britain,,Hartford,CT,POINT (-72.768712 41.712681),41.712681,-72.768712
Apple Rehab Watertown,Nursing Facility,35 Bunker Hill Road,Watertown,,Litchfield,CT,POINT (-73.099293 41.577182),41.577182,-73.099293
Branford Hills Health Care Center,Nursing Facility,189 Alps Road,Branford,,New Haven,CT,POINT (-72.846696 41.264185),41.264185,-72.846696
RegalCare at Waterbury,Nursing Facility,177 Whitewood Road,Waterbury,,New Haven,CT,POINT (-73.081309 41.576911),41.576911,-73.081309
Filosa for Nursing and Rehabilitation,Nursing Facility,13 Hakim Street,Danbury,,Fairfield,CT,POINT (-73.473539 41.395415),41.395415,-73.473539
Fairview,Nursing Facility,235 Lestertown Road,Groton,,New London,CT,POINT (-72.083057 41.372077),41.372077,-72.083057
Avery Heights Health Care Center,Nursing Facility,705 New Britain Avenue,Hartford,,Hartford,CT,POINT (-72.705383 41.733277),41.733277,-72.705383
Autumn Lake Healthcare at New Britain,Nursing Facility,400 Brittany Farms Road,New Britain,,Hartford,CT,POINT (-72.768712 41.712681),41.712681,-72.768712
"Mattatuck Health Care Facility, Inc.",Nursing Facility,9 Cliff Street,Waterbury,,New Haven,CT,POINT (-73.045851 41.560756),41.560756,-73.045851
