Federal Provider Number,CT Credential Number,Level of Care,FACILITY NAME,FACILITY TELEPHONE,ADDRESS,TOWN,COUNTY,STATE,OWNERSHIP TYPE,MEDICARE CERTIFIED,MEDICAID CERTIFIED,Total Licensed Beds,Licensed CCNH Beds,Licensed CCNH Beds Occupied,Licensed RHNS Beds,Licensed RHNS Beds Occupied,CCNH Room Rate: PRIVATE (1 BED),CCNH Room Rate: SEMI-PRIVATE (2 BEDS),CCNH Room Rate: 3 - 4 BEDS,RHNS Room Rate: PRIVATE (1 BED),RHNS Room Rate: SEMI-PRIVATE (2 BEDS),RHNS Room Rate: 3 - 4 BEDS,Total number of patients,<18,18 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85 - 94,95 and older,Unknown age,Male,Female,Unknown gender,Married,Never married,Widowed,Separated,Divorced,Unknown marital status,White,African American,Hispanic or Latino Origin,American Indian or Alaskan Native,Asian or Pacific Islander,Other or Unknown,Medicaid fee-for-service -- CT,Medicaid fee-for-service -- Out of state,Medicaid managed care -- Out of state,Medicaid pending -- CT,Medicaid pending -- Out of state,Medicare fee-for-service (traditional),Medicare managed care,Veterans administration,CCRC -- Life Care,Long-term care insurance --  CT Partnership for Long-Term Care,Long-Term care insurance -- Not CT Partnership,Private insurance (not long-term care),Private pay (no insurance),Unknown Payment Source,Reporting Year,New Georeferenced Column
,,CCNH,"Aurora Senior Living of Norwalk, LLC",(203) 847-9686,34 Midrocks Road,Norwalk,FAIRFIELD,CT,For Profit,true,true,150,150,140,0,0,445,425,390,,,,140,0,0,0,1,1,8,19,28,58,25,0,47,93,0,24,26,61,9,20,0,99,37,4,0,0,0,108,0,0,4,0,20,1,0,0,0,0,0,4,3,2014,POINT (-73.415254 41.142315)
,,CCNH,Northbridge Healthcare Center,(203) 336-0232,2875 Main Street,Bridgeport,FAIRFIELD,CT,For Profit,true,true,145,145,145,0,0,427,407,,,,,145,0,0,0,1,3,5,36,45,44,11,0,54,91,0,25,28,68,3,21,0,62,47,29,0,4,3,126,0,0,3,0,9,5,0,0,0,0,0,2,0,2013,POINT (-73.203493 41.201508)
,,CCNH,Kimberly Hall North,(860) 688-6443,1 Emerson Drive,Windsor,HARTFORD,CT,For Profit,true,true,150,150,138,0,0,415,388,,,,,138,0,0,1,0,2,6,23,43,49,14,0,45,93,0,19,21,62,1,23,12,104,26,7,0,1,0,101,0,0,17,0,0,3,0,0,0,0,0,17,0,2018,POINT (-72.666767 41.837832)
,,CCNH,Northbridge Healthcare Center,(203) 336-0232,2875 Main Street,Bridgeport,FAIRFIELD,CT,For Profit,true,true,145,145,144,0,0,482,462,,,,,144,0,0,0,0,7,19,28,40,39,11,0,55,89,0,26,40,49,2,27,0,58,51,33,0,1,1,126,0,0,4,0,5,3,0,0,0,0,0,6,0,2016,POINT (-73.203493 41.201508)
,,CCNH,RegalCare at Greenwich,(203) 531-8300,1188 King Street,Greenwich,FAIRFIELD,CT,For Profit,true,true,75,75,67,0,0,495,480,,,,,67,0,0,0,1,0,17,17,15,9,8,0,25,42,0,13,14,29,4,7,0,36,16,11,1,0,3,45,4,0,2,0,14,1,0,0,0,0,0,1,0,2018,POINT (-73.69491 41.062693)
,,CCNH,Farmington Rehab Center LLC/dba Amberwoods,(860) 677-1671,416 Colt Highway,Farmington,HARTFORD,CT,For Profit,true,true,130,130,113,0,0,423.55,375,,,,,113,0,0,0,0,4,13,31,32,29,4,0,53,60,0,26,24,35,1,27,0,95,8,7,0,1,2,74,0,0,5,0,7,2,19,0,0,0,1,5,0,2016,POINT (-72.801542 41.715385)
,,CCNH,"The Springs at Watermark, East Hill",(203) 262-6868,611 East Hill Road,Southbury,NEW_HAVEN,CT,For Profit,true,false,35,35,30,0,0,475,425,,,,,30,0,0,0,0,0,0,0,4,21,5,0,11,19,0,8,0,20,0,2,0,30,0,0,0,0,0,0,0,0,0,0,12,0,0,15,0,0,3,0,0,2013,POINT (-73.241049 41.485015)
,,CCNH,Village Crest Center for Health and Rehabilitation,(860) 354-9365,19 Poplar Street,New Milford,LITCHFIELD,CT,For Profit,true,true,95,95,79,0,0,393,364,337,,,,79,0,0,0,0,4,6,11,28,25,5,0,21,58,0,14,29,26,1,9,0,75,1,2,1,0,0,52,0,0,8,9,2,0,0,0,0,0,1,7,0,2013,POINT (-73.408736 41.58294)
75198,2416,CCNH,Village Green of Bristol Rehabilitation and Health Center,(860) 589-2923,23 Fair Street,Bristol,HARTFORD,CT,For Profit,true,true,120,120,91,0,0,420,393,,,,,91,0,0,2,7,7,17,26,23,8,1,0,49,42,0,16,25,14,0,12,24,60,3,10,0,0,18,64,0,0,3,0,8,4,10,0,0,0,0,2,0,2019,POINT (-72.902506 41.679856)
,,CCNH,Riverside Health and Rehabilitation Center,(860) 289-2791,745 Main Street,East Hartford,HARTFORD,CT,For Profit,true,true,345,345,337,0,0,428,408,,,,,337,0,3,2,8,20,17,33,166,76,12,0,122,215,0,42,100,158,0,37,0,195,69,65,0,1,7,243,0,0,28,0,23,19,0,0,0,0,0,14,10,2014,POINT (-72.64546 41.766505)
,,CCNH,Meridian Manor Corporation,(203) 757-1228,1132 Meriden Road,Waterbury,NEW_HAVEN,CT,For Profit,true,true,94,94,51,0,0,295,265,,,,,51,0,0,0,0,6,10,8,8,13,6,0,17,34,0,10,16,20,0,5,0,39,5,6,0,1,0,42,0,0,1,0,4,1,0,0,1,0,0,2,0,2018,POINT (-72.981851 41.552609)
,,CCNH,Bayview Health Care,(860) 444-1175,301 Rope Ferry Road,Waterford,NEW_LONDON,CT,For Profit,true,true,127,127,123,0,0,505,495,,,,,123,0,0,0,1,2,7,17,27,59,10,0,40,83,0,24,22,55,1,21,0,112,7,4,0,0,0,103,0,0,0,0,11,1,0,0,0,0,0,8,0,2016,POINT (-72.165413 41.327443)
,,CCNH,Cherry Brook Health Care Center,(860) 693-7777,102 Dyer Avenue,Collinsville,HARTFORD,CT,Non-profit,true,true,100,100,99,0,0,456,444,,,,,99,0,0,0,0,5,4,8,27,40,15,0,28,71,0,21,11,55,0,12,0,97,1,1,0,0,0,66,0,0,6,0,13,3,0,0,0,0,0,11,0,2014,POINT (-72.919257 41.83171500000001)
,,CCNH,Parkway Pavilion Health and Rehabilitation Center,(860) 745-1641,1157 Enfield Street,Enfield,HARTFORD,CT,For Profit,true,true,130,130,118,0,0,,431,414,,,,118,0,0,2,0,3,20,18,32,32,11,0,42,76,0,33,12,64,0,9,0,87,12,4,0,0,15,78,0,0,1,0,15,6,0,0,0,0,0,9,9,2015,POINT (-72.593179 41.986582)
,,CCNH,Apple Rehab Guilford,(203) 453-3725,10 Boston Post Road,Guilford,NEW_HAVEN,CT,For Profit,true,true,90,90,82,0,0,453,416,,,,,82,0,0,0,0,1,0,3,26,39,13,0,20,62,0,10,8,30,4,30,0,80,0,2,0,0,0,62,0,0,0,0,11,2,0,0,0,0,0,7,0,2014,POINT (-72.64783 41.285595)
,,CCNH,The Nathaniel Witherell,(203) 618-4200,70 Parsonage Road,Greenwich,FAIRFIELD,CT,Non-profit,true,true,202,202,177,0,0,512,479,,,,,177,0,0,0,0,5,4,22,41,75,30,0,42,135,0,30,38,84,0,25,0,164,8,4,0,1,0,99,0,0,0,0,28,1,0,0,0,4,0,45,0,2015,POINT (-73.624382 41.059487)
75061,2414,CCNH,Cassena Care of Stamford,(203) 351-8323,53 Courtland Avenue,Stamford,FAIRFIELD,CT,For Profit,true,true,156,156,136,0,0,555,520,,,,,136,0,0,0,1,3,10,37,32,42,11,0,56,80,0,20,21,85,2,8,0,69,43,18,0,6,0,91,0,0,10,0,19,6,4,0,0,0,0,6,0,2019,POINT (-73.514114 41.060582)
,,CCNH,Rose Garden Health & Rehabilitation Center,(203) 754-4181,3584 East Main Street,Waterbury,NEW_HAVEN,CT,For Profit,true,true,82,82,50,0,0,305,295,275,,,,50,0,1,1,4,7,14,8,11,4,0,0,28,22,0,4,31,7,1,7,0,28,11,11,0,0,0,44,0,0,0,0,6,0,0,0,0,0,0,0,0,2016,POINT (-72.968432 41.542733)
,,CCNH,The Reservoir,(860) 561-7022,One Emily Way,West Hartford,HARTFORD,CT,For Profit,true,true,75,75,68,0,0,502,470,,,,,68,0,0,0,0,1,5,10,14,32,6,0,23,45,0,22,6,32,0,8,0,65,2,1,0,0,0,24,0,0,2,0,19,8,0,0,1,1,8,5,0,2014,
,,CCNH,Cobalt Lodge Health Care and Rehabilitation Center,(860) 267-9034,Post Office Box 246,Cobalt,MIDDLESEX,CT,For Profit,true,true,60,0,0,60,51,,,,350,320,,51,0,0,0,0,0,0,4,30,15,2,0,19,32,0,8,0,40,0,3,0,35,2,5,0,2,7,32,0,0,3,0,5,0,0,0,0,0,0,8,3,2015,
,,CCNH,Newtown Rehabilitation and Health Care Center,(203) 426-5847,139 Toddy Hill Road,Newtown,FAIRFIELD,CT,For Profit,true,true,156,156,128,0,0,484,436,,,,,128,0,0,0,0,1,1,15,42,53,16,0,34,94,0,35,1,59,19,14,0,126,1,0,0,0,1,90,0,0,3,0,12,0,0,0,0,0,1,22,,2016,POINT (-73.258982 41.382079)
,,CCNH,Apple Rehab Guilford,(203) 453-3725,10 Boston Post Road,Guilford,NEW_HAVEN,CT,For Profit,true,true,90,90,68,0,0,453,416,,,,,68,0,0,0,0,1,2,10,22,25,8,0,20,48,0,12,11,33,0,12,0,67,1,0,0,0,0,50,0,0,10,0,0,2,0,0,0,0,0,6,0,2018,POINT (-72.64783 41.285595)
,,CCNH,Twin Maples Health Care Facility,(860) 349-1041,"809 R New Haven Road,  P.O. Box 423",Durham,MIDDLESEX,CT,For Profit,true,true,44,44,38,0,0,,300,,,,,38,0,0,0,0,2,5,7,10,13,1,0,6,32,0,3,6,20,0,9,0,36,2,0,0,0,0,35,0,0,1,0,0,0,0,0,0,0,0,2,0,2016,POINT (-72.720881 41.436968)
,,CCNH,"Elim Park Baptist Home, Inc.",(203) 272-3547,140 Cook Hill Road,Cheshire,NEW_HAVEN,CT,Non-profit,true,true,90,90,86,0,0,580,550,,,,,87,0,1,0,0,0,3,11,21,44,7,0,66,21,0,18,6,59,0,4,0,83,2,1,0,1,0,39,0,0,6,0,18,7,0,0,0,0,4,13,0,2018,POINT (-72.900936 41.466811)
,,CCNH,Pilgrim Manor,(860) 635-5511,52 Missionary Road,Cromwell,MIDDLESEX,CT,Non-profit,true,true,60,60,53,0,0,507,421,,,,,53,0,0,0,0,0,0,0,9,27,17,0,6,47,0,4,10,38,0,1,0,53,0,0,0,0,0,21,0,0,3,0,6,0,0,0,0,4,0,19,0,2013,POINT (-72.660908 41.600427)
,,CCNH,RegalCare at Torrington,(860) 294-7300,80 Fern Drive,Torrington,LITCHFIELD,CT,For Profit,true,true,75,75,68,0,0,450,439,,,,,68,0,0,0,0,10,10,12,14,17,5,0,34,34,0,7,21,27,0,13,0,62,2,4,0,0,0,50,0,0,5,0,6,0,0,0,1,0,0,6,0,2015,POINT (-73.109 41.81049)
,,CCNH,The Curtis Home,(203) 237-4338,380 Crown Street,Meriden,NEW_HAVEN,CT,Non-profit,true,true,60,60,51,0,0,350,325,,,,,51,0,0,0,0,2,3,5,16,20,5,0,15,36,0,8,8,26,0,9,0,43,4,4,0,0,0,46,0,0,0,0,1,0,4,0,0,0,0,0,0,2015,POINT (-72.805239 41.528723)
,,CCNH,Securecare Options Inc. dba 60 West,(860) 529-0880,60 West Street,Rocky Hill,Hartford,CT,For Profit,true,true,95,95,87,0,0,634,607,579,,,,87,0,0,2,6,14,28,21,11,5,0,0,70,17,0,4,50,7,0,26,0,49,20,18,0,0,0,80,0,0,0,0,4,0,0,0,0,0,0,3,0,2018,POINT (-72.643245 41.65413000000001)
,,CCNH,Apple Rehab Guilford,(203) 453-3725,10 Boston Post Road,Guilford,NEW_HAVEN,CT,For Profit,true,true,90,90,75,0,0,440,404,,,,,75,0,0,0,0,0,1,2,22,38,12,0,17,58,0,13,7,47,1,7,0,73,0,2,0,0,0,54,0,0,5,0,3,1,0,0,0,0,0,10,2,2013,POINT (-72.64783 41.285595)
,,CCNH,Vernon Manor Health Care Center,(860) 871-0385,180 Regan Road,Vernon,TOLLAND,CT,For Profit,true,true,120,120,103,0,0,403,373,,,,,103,0,0,0,0,1,3,7,27,48,17,0,15,88,0,14,10,65,0,14,0,101,1,0,0,1,0,69,0,0,3,0,12,1,0,1,0,0,0,15,2,2014,POINT (-72.477917 41.852217)
,,CCNH,Hancock Hall,(203) 794-9466,31 Staples Street,Danbury,FAIRFIELD,CT,For Profit,true,true,96,96,94,0,0,500,470,,,,,94,0,0,0,0,0,3,3,19,53,16,0,19,75,0,9,7,74,0,4,0,92,0,2,0,0,0,56,0,0,2,0,7,1,0,0,1,2,3,22,0,2016,POINT (-73.47369 41.39683)
,,CCNH,"Westview Nursing Care & Rehabilitation Center, Inc.",(860) 774-8574,150 Ware Road,Dayville,WINDHAM,CT,For Profit,true,true,103,103,101,0,0,338,328,,,,,101,0,0,0,0,2,3,11,22,47,16,0,27,74,0,32,7,59,0,3,0,100,0,0,0,1,0,45,0,0,1,0,28,2,0,0,0,0,1,24,0,2013,POINT (-71.872542 41.880358)
,,CCNH,Apple Rehab Middletown (dba Highview Health Care Center),(860) 347-3315,600 Highland Avenue,Middletown,MIDDLESEX,CT,For Profit,true,true,70,70,69,0,0,421,395,,,,,69,0,0,0,0,0,6,5,17,30,11,0,21,48,0,14,6,43,0,6,0,65,2,1,0,1,0,38,0,0,6,0,9,7,0,0,0,0,0,9,0,2018,POINT (-72.654814 41.532381)
,,CCNH,Groton Regency Center,(860) 446-9960,1145 Poquonnock Road,Groton,NEW_LONDON,CT,For Profit,true,true,162,162,114,0,0,382,335,,,,,114,0,0,0,1,1,3,28,31,43,7,0,39,75,0,22,9,38,0,14,31,111,2,1,0,0,0,80,0,0,10,0,7,4,0,0,0,0,0,6,7,2018,POINT (-72.043241 41.346698)
75319,2034C,CCNH/RHNS,Litchfield Woods Health Care Center,(860) 489-5801,255 Roberts Street,Torrington,LITCHFIELD,CT,For Profit,true,true,160,130,127,30,29,622,587,,597,577,,156,0,0,1,0,1,16,36,38,47,17,0,37,119,0,27,20,82,1,26,0,152,1,3,0,0,0,105,0,0,14,0,19,6,0,0,0,0,4,8,0,2019,POINT (-73.141224 41.808768)
,,CCNH,"Wolcott Hall Nursing Center, Inc.",(860) 482-8554,215 Forest Street,Torrington,LITCHFIELD,CT,For Profit,true,true,87,87,56,0,0,295,295,295,,,,56,0,0,0,0,3,6,10,15,17,5,0,20,36,0,12,13,21,0,10,0,55,1,0,0,0,0,42,0,0,8,0,5,1,0,0,0,0,0,0,0,2017,POINT (-73.128142 41.80896)
,,CCNH,Pomperaug Woods Health Center,(203) 262-6555,80 Heritage Road,Southbury,NEW_HAVEN,CT,Non-profit,true,false,37,37,35,0,0,510,449,,,,,35,0,0,0,0,0,0,0,2,26,7,0,15,20,0,1,5,29,0,0,0,32,0,0,0,0,3,0,0,0,0,0,0,0,0,28,0,4,0,3,0,2016,POINT (-73.217482 41.482196)
,,CCNH,Village Green of Bristol Rehabilitation and Health Center,(860) 589-2923,23 Fair Street,Forestville,HARTFORD,CT,For Profit,true,true,120,120,85,0,0,375,348,321,,,,85,0,0,1,5,6,17,13,24,18,1,0,40,45,0,16,25,29,3,12,0,75,3,6,0,1,0,65,0,0,6,0,5,0,2,0,0,0,3,4,0,2013,POINT (-72.902506 41.679856)
,,CCNH,Apple Rehab Uncasville,(860) 848-8466,5 Richard Brown Drive,Uncasville,NEW_LONDON,CT,For Profit,true,true,130,130,114,0,0,432,410,,,,,114,0,0,0,0,1,8,30,30,38,7,0,23,91,0,20,22,49,0,23,0,99,5,5,2,1,2,87,0,0,11,0,4,2,0,0,0,0,2,8,0,2018,POINT (-72.112266 41.49273)
75261,2072C,CCNH,Regency House of Wallingford,(203) 265-1661,181 East Main Street,Wallingford,NEW_HAVEN,CT,For Profit,true,true,130,130,128,0,0,515,460,,,,,128,0,0,0,1,1,3,14,30,68,11,0,40,88,0,24,19,63,2,20,0,115,11,2,0,0,0,75,0,0,8,0,14,18,0,0,0,0,0,13,0,2019,POINT (-72.799632 41.454112)
,,CCNH,RegalCare at New Haven,(203) 907-3550,181 Clifton Street,New Haven,NEW_HAVEN,CT,For Profit,true,true,150,150,149,0,0,382,328,311,,,,149,0,0,2,8,9,48,43,28,11,0,0,86,63,0,7,87,17,5,33,0,77,44,25,0,1,2,119,0,0,1,0,26,2,0,0,0,0,0,1,0,2018,POINT (-72.878853 41.309366)
,,CCNH,Governor's House,(860) 658-1018,36 Firetown Road,Simsbury,HARTFORD,CT,For Profit,true,true,73,73,53,0,0,502,458,,,,,53,0,0,0,0,0,1,10,13,23,6,0,10,43,0,6,4,18,0,9,16,35,1,1,0,0,16,37,0,0,3,0,10,0,0,0,0,0,0,3,0,2016,POINT (-72.811606 41.872974)
,,CCNH,Maple View Center for Health and Rehabilitation,(860) 563-2861,856 Maple Street,Rocky Hill,HARTFORD,CT,For Profit,true,true,120,120,114,0,0,424,383,,,,,114,0,0,0,1,0,2,10,42,50,9,0,23,91,0,26,22,59,0,7,0,107,3,3,0,1,0,79,0,0,8,0,10,5,0,0,0,0,2,8,2,2014,POINT (-72.666639 41.673965)
,,CCNH,St. Camillus Center,(203) 325-0200,494 Elm Street,Stamford,FAIRFIELD,CT,For Profit,true,true,124,124,100,0,0,512,457,,,,,100,0,0,0,0,5,11,15,25,35,9,0,28,72,0,19,33,25,1,22,0,41,25,8,0,1,25,76,0,0,1,0,9,7,0,0,0,0,0,4,3,2015,POINT (-73.526723 41.049972)
,,CCNH,"Elim Park Baptist Home, Inc.",(203) 272-3547,140 Cook Hill Road,Cheshire,NEW_HAVEN,CT,Non-profit,true,true,90,90,87,0,0,525,495,,,,,87,0,0,0,0,1,0,7,19,42,18,0,21,66,0,13,2,70,0,2,0,87,0,0,0,0,0,50,0,0,2,0,18,3,0,0,0,0,14,0,0,2013,POINT (-72.900936 41.466811)
75403,2136C,CCNH/RHNS,Apple Rehab West Haven,(203) 932-6411,308 Savin Avenue,West Haven,NEW_HAVEN,CT,For Profit,true,true,90,89,80,1,1,430,399,,,149.95,,81,0,0,0,1,3,4,15,19,35,4,0,30,51,0,18,15,37,1,10,0,54,17,10,0,0,0,59,0,0,10,0,4,6,0,0,0,0,0,2,0,2019,POINT (-72.950838 41.260554)
,,CCNH,Avalon Health Care Center at StoneRidge,(860) 572-5623,186 Jerry Browne Road,Mystic,NEW_LONDON,CT,For Profit,true,false,40,40,35,0,0,440,405,,,,,35,0,0,0,0,1,1,2,5,26,0,0,11,24,0,14,4,17,0,0,0,35,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,20,0,2014,POINT (-71.949571 41.37512000000001)
,,CCNH,"Paradigm Healthcare Center of Torrington, LLC",(860) 294-7300,80 Fern Drive,Torrington,LITCHFIELD,CT,For Profit,true,true,75,75,60,0,0,435,424,,,,,60,0,0,1,0,1,9,12,20,13,4,0,27,33,0,7,19,23,2,9,0,56,2,2,0,0,0,49,0,0,4,0,5,0,0,0,0,0,0,2,0,2013,POINT (-73.109 41.81049)
75375,2308,CCNH,Bride Brook Health and Rehabilitation Center,(860) 739-4007,23 Liberty Way,Niantic,NEW_LONDON,CT,For Profit,true,true,130,130,117,0,0,450,397,,,,,117,0,0,0,1,1,7,14,30,51,13,0,48,69,0,29,17,53,1,17,0,111,3,3,0,0,0,68,0,0,10,0,20,2,9,0,0,0,0,8,0,2019,POINT (-72.24337 41.320823)
,,CCNH,Cook-Willow Health & Rehabilitation Center,(860) 283-8208,81 Hillside Avenue,Plymouth,LITCHFIELD,CT,For Profit,true,true,60,60,58,0,0,300,270,,,,,58,0,0,0,0,2,10,7,15,21,3,0,18,40,0,12,11,23,1,11,0,53,1,0,0,0,4,44,0,0,1,0,3,2,0,0,0,0,0,7,1,2015,POINT (-73.059106 41.667181)
,,CCNH,Cobalt Lodge Health Care and Rehabilitation Center,(860) 267-9034,"29 Middle Haddam Road, PO Box 246",Cobalt,MIDDLESEX,CT,For Profit,true,true,60,60,53,0,0,340,320,,,,,53,0,0,0,0,2,6,12,12,13,8,0,19,34,0,4,13,24,1,11,0,51,2,0,0,0,0,40,0,0,0,0,3,3,0,0,0,0,0,7,0,2014,
,,CCNH,Valerie Manor,(860) 489-1008,1360 Torringford Street,Torrington,LITCHFIELD,CT,For Profit,true,true,151,151,145,0,0,542,520,,,,,145,0,0,0,0,1,8,25,33,63,15,0,45,100,0,34,16,59,0,36,0,144,0,0,0,1,0,108,0,0,4,0,15,5,0,0,0,0,2,11,0,2017,POINT (-73.079132 41.827508)
,,CCNH,The Reservoir,(860) 561-7022,1 Emily Way,West Hartford,HARTFORD,CT,For Profit,true,true,75,75,67,0,0,562,530,,,,,67,0,0,0,0,2,3,10,13,30,9,0,15,52,0,13,12,33,0,9,0,54,9,1,0,2,1,41,0,0,3,0,6,10,0,0,0,0,0,7,0,2018,POINT (-72.77641 41.74291)
,,CCNH,Village Crest Center for Health and Rehabilitation,(860) 354-9365,19 Poplar Street,New Milford,LITCHFIELD,CT,For Profit,true,true,95,95,74,0,0,,390,355,,,,74,0,0,0,0,1,7,16,18,23,9,0,18,56,0,13,17,28,0,15,1,59,1,3,0,1,10,48,0,0,11,0,7,4,0,0,0,0,1,3,0,2018,POINT (-73.408736 41.58294)
,,CCNH,Bridgeport Manor,(203) 384-6537,540 Bond Street,Bridgeport,FAIRFIELD,CT,For Profit,true,true,240,240,164,0,0,305,295,275,,,,164,0,0,2,3,18,46,44,29,18,4,0,97,67,0,12,84,21,0,47,,80,50,33,0,0,1,143,0,0,0,0,5,0,14,0,0,0,1,1,0,2016,POINT (-73.167085 41.200764)
,,CCNH,Douglas Manor,(860) 423-4636,103 North Road,Windham,WINDHAM,CT,For Profit,true,true,90,90,75,0,0,405,385,,,,,75,0,0,0,0,2,2,7,24,34,6,0,20,55,0,18,11,38,0,8,0,75,0,0,0,0,0,35,0,0,0,0,17,6,0,0,0,0,1,15,1,2015,POINT (-72.163347 41.705233)
,,CCNH,Southington Care Center,(860) 621-9559,45 Meriden Avenue,Southington,HARTFORD,CT,Non-profit,true,true,130,130,128,0,0,460,425,,,,,128,0,0,0,1,1,14,15,21,61,15,0,27,101,0,18,14,84,0,12,0,127,0,0,0,0,1,60,0,0,11,0,20,6,0,0,0,2,5,24,0,2013,POINT (-72.876623 41.59615)
,,CCNH,Wolcott View Manor,(203) 879-8066,50 Beach Road,Wolcott,NEW_HAVEN,CT,For Profit,true,true,129,129,117,0,0,346,350,,,,,117,0,0,0,1,0,6,30,27,41,12,0,39,78,0,23,21,56,2,15,0,105,6,4,0,0,2,88,0,0,6,0,11,0,0,0,0,0,1,11,0,2017,POINT (-72.989834 41.605219000000005)
,,CCNH,Cook-Willow Health Center,(860) 283-8208,81 Hillside Avenue,Plymouth,LITCHFIELD,CT,For Profit,true,true,60,60,55,0,0,300,270,,,,,55,0,0,0,0,4,8,4,15,19,5,0,18,37,0,11,10,24,0,10,0,54,1,0,0,0,0,44,0,0,0,0,5,0,0,0,1,0,0,5,0,2014,POINT (-73.059106 41.667181)
,,CCNH,Long Ridge Post-Acute Care,(203) 329-4026,710 Long Ridge Road,Stamford,FAIRFIELD,CT,For Profit,true,true,120,120,105,0,0,500,450,,,,,105,0,0,0,0,3,11,17,34,32,8,0,40,65,0,15,32,41,0,17,0,68,31,6,0,0,0,79,0,0,1,0,11,0,5,0,0,2,0,6,1,2015,POINT (-73.563222 41.095003)
75394,2408,CCNH,Long Ridge Post-Acute Care,(203) 329-4026,710 Long Ridge Road,Stamford,FAIRFIELD,CT,For Profit,true,true,120,120,113,0,0,568.24,506.17,,,,,113,0,0,1,0,4,14,19,37,32,6,0,42,71,0,28,40,25,2,18,0,71,35,5,0,1,1,94,0,0,1,0,9,5,0,0,0,0,0,4,0,2019,POINT (-73.563222 41.095003)
,,CCNH,Chamberlain Healthcare,(203) 375-5894,7003 Main Street,Stratford,FAIRFIELD,CT,For Profit,true,false,60,60,44,0,0,475,430,,,,,44,0,0,0,0,2,2,11,14,13,2,0,16,28,0,17,4,17,0,6,0,38,4,1,0,0,1,0,0,0,0,0,23,14,0,0,0,0,6,1,0,2015,POINT (-73.100682 41.251009)
,,CCNH,"The Mary Wade Home, Inc.",(203) 562-7222,118 Clinton Avenue,New Haven,NEW_HAVEN,CT,Non-profit,true,true,94,94,88,0,0,480,437,,,,,88,0,0,0,0,0,0,12,29,33,14,0,24,64,0,10,18,48,0,9,3,73,14,0,0,0,1,61,0,0,1,0,8,2,0,0,0,1,0,15,0,2016,POINT (-72.891247 41.312612)
,,CCNH,Apple Rehab Laurel Woods,(203) 466-6850,451 North High Street,East Haven,NEW_HAVEN,CT,For Profit,true,true,120,120,115,0,0,475,435,,,,,115,0,0,0,0,9,11,13,32,39,11,0,24,91,0,13,23,66,4,9,0,103,9,2,0,1,0,93,0,0,3,0,10,8,0,0,0,0,0,1,0,2017,POINT (-72.866922 41.292497)
,,CCNH,Cheshire House Health Care Facility & Rehabilitation,(203) 754-2161,3396 East Main Street,Waterbury,NEW_HAVEN,CT,For Profit,true,true,75,75,72,0,0,380,350,,,,,72,0,0,0,0,1,4,7,14,36,10,0,21,51,0,21,9,37,2,3,0,69,2,1,0,0,0,38,0,0,2,0,16,0,0,0,0,0,11,5,0,2013,POINT (-72.977713 41.544185)
,,CCNH,Parkville Care Center,(860) 236-2901,5 Greenwood Street,Hartford,HARTFORD,CT,For Profit,true,true,150,150,119,0,0,415,365,,,,,119,0,1,0,2,9,20,39,31,16,1,0,62,57,0,12,70,17,0,20,0,25,24,60,1,2,7,109,0,0,7,0,1,1,1,0,0,0,0,0,0,2017,POINT (-72.709971 41.754837)
,,CCNH,Blair Manor,(860) 749-8388,612 Hazard Avenue,Enfield,HARTFORD,CT,For Profit,true,true,98,98,86,0,0,,358,333,,,,86,0,0,0,0,0,6,9,34,31,6,0,22,64,0,19,10,48,0,9,0,84,1,1,0,0,0,54,0,0,13,0,4,4,0,0,0,0,1,9,1,2013,POINT (-72.506893 41.98519)
,,CCNH,Evergreen Woods Health Center,(203) 488-8000,88 Notch Hill Road,North Branford,NEW_HAVEN,CT,For Profit,true,false,50,50,46,0,0,425,365,,,,,46,0,0,0,0,0,0,1,7,28,10,0,11,35,0,13,0,30,0,3,0,46,0,0,0,0,0,0,0,0,0,0,7,1,0,7,0,25,0,6,0,2013,POINT (-72.751087 41.317083)
,,CCNH,West River Rehabilitation Center,(203) 876-5123,245 Orange Avenue,Milford,NEW_HAVEN,CT,For Profit,true,true,120,120,117,0,0,573.29,503.83,,,,,117,0,0,0,0,3,7,15,43,37,12,0,31,86,0,22,40,18,2,35,0,101,8,3,0,0,5,77,0,0,2,0,21,11,0,0,0,0,0,3,3,2018,POINT (-73.050224 41.237712)
,,CCNH,Salmon Brook Rehab and Nursing,(860) 633-5244,72 Slamon Brook Drive,Glastonbury,HARTFORD,CT,For Profit,true,true,130,130,109,0,0,413.4,383.4,,,,,109,0,0,0,0,3,7,13,34,45,7,0,29,80,0,23,12,67,0,7,0,106,3,0,0,0,0,61,0,0,5,0,17,11,0,0,0,0,3,12,0,2016,POINT (-72.603458 41.716521)
,,CCNH,Waveny Care Center,(203) 594-5200,3 Farm Road,New Canaan,FAIRFIELD,CT,Non-profit,true,true,76,76,69,0,0,582,536,,,,,69,0,0,0,0,0,1,2,26,32,8,0,22,47,0,26,4,31,0,8,0,65,3,0,0,1,0,43,0,0,0,0,14,0,0,0,0,0,0,12,0,2017,POINT (-73.493667 41.128529)
