FACID,FACILITY_TYPE,LIC#,LICENSED_NAME,ALPHA_NAME,ADDRESS,FAC_ADDR_2,FAC_CITY,FAC_ST,ZIP,CSZ,COUNTY,TELEPHONE,FAXPHONE,FACEMAIL,LIC_EXPIRES,LICENSED_OWNER,OWNADDR,owncsz,OwnDesc,ADMIN,TITLE,RunDate,HospBedTotal
NJR24729,SURGICAL PRACTICE,R24729,"DAMIEN FERTILITY PARTNERS A DIV OF REGIONAL WOMEN'S HEALTH GROUP, L.L.C.",DAMIEN FERTILITY PARTNERS A DIV OF REGIONAL,"655 SHREWSBURY AVENUE, SUITE 300", ,SHREWSBURY,NJ,07702,"SHREWSBURY, NJ  07702",MONMOUTH,(732) 758-6511,(732) 758-1048,manager@damienfertilitypartners.com,10/31/2018,DAMIEN FERTILITY PARTNERS,655 SHREWSBURY AVENUE,"SHREWSBURY, NJ  07702",,Mr. ROBERT MILLER,,6/17/2020,
NJ22278,END STAGE RENAL DIALYSIS,22278,"DCA OF VINELAND, LLC","DCA OF VINELAND, LLC","1450 EAST CHESTNUT AVENUE, BLDG 2, SUITE C", ,VINELAND,NJ,08361,"VINELAND, NJ  08361",CUMBERLAND,(856) 692-9060,(856) 692-9098,legal@usrenalcare.com,12/31/2020,"DCA OF VINELAND, L.L.C.","5851 LEGACY CIRCLE, SUITE 900","PLANO, TX  75024",,Ms. JENNIFER RIVERA,,6/17/2020,
NJ20301,SPECIAL HOSPITAL,20301,DEBORAH HEART & LUNG CENTER,DEBORAH HEART AND LUNG CENTER,200 TRENTON ROAD, ,BROWNS MILLS,NJ,08015,"BROWNS MILLS, NJ  08015",BURLINGTON,(609) 893-6611,(609) 893-1213,administration@deborah.org,11/30/2020,DEBORAH HEART AND LUNG CENTER,200 TRENTON ROAD,"BROWNS MILLS, NJ  08015",Non-Profit - Hospital,Mr. JOSEPH CHIRICHELLA,,6/17/2020,89
NJ1501,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1501,DEBORAH HEART AND LUNG BALANCE CENTER,DEBORAH HEART AND LUNG BALANCE CENTER,200 TRENTON ROAD, ,BROWNS MILLS,NJ,08015,"BROWNS MILLS, NJ  08015",BURLINGTON,(609) 893-6611,(609) 893-1213,,11/30/2020,DEBORAH HEART AND LUNG CENTER,200 TRENTON ROAD,"BROWNS MILLS, NJ  08015",Non-Profit - Hospital,Mr. JOSEPH CHIRICHELLA,,6/17/2020,
NJ1488,AMBULATORY CARE FACILITY,1488,DEBORAH HEART AND LUNG CENTER PEDIATRIC CARDIOLOGY,DEBORAH HEART AND LUNG CENTER PEDIATRIC CARDIOLOGY,212 TRENTON ROAD, ,BROWNS MILLS,NJ,08015,"BROWNS MILLS, NJ  08015",BURLINGTON,(609) 593-6611,          ,,11/30/2020,DEBORAH HEART AND LUNG CENTER,200 TRENTON ROAD,"BROWNS MILLS, NJ  08015",Non-Profit - Hospital,Mr. JOSEPH CHIRICHELLA,,6/17/2020,
NJ1500,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1500,DEBORAH HEART AND LUNG SLEEP CENTER,DEBORAH HEART AND LUNG SLEEP CENTER,200 TRENTON ROAD, ,BROWNS MILLS,NJ,08015,"BROWNS MILLS, NJ  08015",BURLINGTON,(609) 893-6611,(609) 893-1213,,11/30/2020,DEBORAH HEART AND LUNG CENTER,200 TRENTON ROAD,"BROWNS MILLS, NJ  08015",Non-Profit - Hospital,Mr. JOSEPH CHIRICHELLA,,6/17/2020,
NJ22336,END STAGE RENAL DIALYSIS,22336,DELRAN DIALYSIS,DELRAN DIALYSIS,8008 ROUTE 130 NORTH, ,DELRAN,NJ,08075,"DELRAN, NJ  08075",BURLINGTON,(856) 764-0800,(856) 764-0917,emily.midure@davita.com,9/30/2020,"DVA HEALTHCARE RENAL CARE, INC.",2000 16TH STREET,"DENVER, CO  80202",,Ms. EMILY MIDURE,,6/17/2020,
NJ24073,AMBULATORY CARE FACILITY,24073,DENVILLE DIAGNOSTICS IMAGING AND OPEN MRI LLC,DENVILLE DIAGNOSTICS IMAGING AND OPEN MRI LLC,161 EAST MAIN STREET, ,DENVILLE,NJ,07834,"DENVILLE, NJ  07834",MORRIS,(973) 586-1212,(973) 586-6555,medwyre@gmail.com,3/31/2021,DENVILLE DIAGNOSTICS IMAGING AND OPEN MRI LLC,161 EAST MAIN STREET,"DENVILLE, NJ  07834",,Mr. MICHAEL DWYRE,,6/17/2020,
NJ22720,AMBULATORY CARE FACILITY,22720,"DENVILLE DIAGNOSTICS IMAGING AND OPEN MRI, LLC","DENVILLE DIAGNOSTICS IMAGING AND OPEN MRI, LLC",0-100 28TH STREET, ,FAIR LAWN,NJ,07410,"FAIR LAWN, NJ  07410",BERGEN,(201) 475-1300,(201) 475-1709,medwyre@gmail.com,3/31/2021,"RADIOLOGY CENTER OF FAIR LAWN, LLC",100 28TH STREET,"FAIRLAWN, NJ  07410",,Mr. MICHAEL DWYER,,6/17/2020,
NJ24097,AMBULATORY CARE FACILITY,24097,"DENVILLE DIAGNOSTICS IMAGING AND OPEN MRI, LLC","DENVILLE DIAGNOSTICS IMAGING AND OPEN MRI, LLC","601 HAMBURG TURNPIKE, SUITE 201", ,WAYNE,NJ,07470,"WAYNE, NJ  07470",PASSAIC,(973) 238-0700,(973) 586-6555,medwyre@gmail.com,11/30/2020,"STAR MRI OF WAYNE, LLC","601 HAMBURGBTRP, SUITE 201","WAYNE, NJ  07470",,Mr. MICHAEL DWYER,,6/17/2020,
NJ25066,AMBULATORY CARE FACILITY,25066,DENVILLE MEDICAL AND SPORTS REHABILITATION CENTER,DENVILLE MEDICAL AND SPORTS REHABILITATION CENTER,161 EAST MAIN STREET, ,DENVILLE,NJ,07834,"DENVILLE, NJ  07834",MORRIS,(973) 627-7888,(973) 627-7040,,12/31/2020,"DENVILLE MEDICAL & SPORTS REHAB CENTER, INC",161 EAST MAIN STREET,"DENVILLE, NJ  07834",Profit - Corporation,Mr. DAVID BARRETT,,6/17/2020,
22964,AMBULATORY SURGICAL CENTER,22964,"DENVILLE SURGERY CENTER, L.L.C.","DENVILLE SURGERY CENTER, LLC","3130 ROUTE 10 WEST, SUITE 200", ,DENVILLE,NJ,07834,"DENVILLE, NJ  07834",MORRIS,(973) 328-3475,(973) 328-3476,vchristopher@uspi.com,8/31/2020,"DENVILLE SURGERY CENTER, L.L.C.","3130 ROUTE 10 WEST, SUITE 200","DENVILLE, NJ  07834",Profit - LLC,Ms. LORI HORTON,,6/17/2020,
NJ24479,AMBULATORY CARE FACILITY,24479,DIAGNOSTIC IMAGING AT SADDLE BROOK,DIAGNOSTIC IMAGING AT SADDLE BROOK,88 MARKET STREET, ,SADDLE BROOK,NJ,07663,"SADDLE BROOK, NJ  07663",BERGEN,(201) 880-6600,          ,micmribuerdesco@yahoo.com,2/28/2021,"IMAGING DIAGNOSTICS, LLC",88 MARKET STREET,"SADDLE BROOK, NJ  07763",,Mr. BERNARD VERDESCO,,6/17/2020,
NJ25013,AMBULATORY CARE FACILITY,25013,"DIAGNOSTIC IMAGING CENTER, LLC","DIAGNOSTIC IMAGING CENTER, LLC",1921 OAKTREE ROAD, ,EDISON,NJ,08820,"EDISON, NJ  08820",MIDDLESEX,(732) 331-8966,(732) 601-3524,,7/31/2019,"DIAGNOSTIC IMAGING CENTER, LLC",1921 OAKTREE ROAD,"EDISON, NJ  08820",Profit - LLC,Mr. BHAGVATSINH PARMAR,,6/17/2020,
NJ22475,END STAGE RENAL DIALYSIS,22475,"DIALYSIS ASSOCIATES OF NORTHERN NEW JERSEY, LLC","DIALYSIS ASSOCIATES OF NORTHERN NJ, LLC","2200 ROUTE 10 WEST, SUITE 107", ,PARSIPPANY,NJ,07054,"PARSIPPANY, NJ  07054",MORRIS,(973) 267-2009,(973) 889-9159,barbara.miller@fmc-na.com,5/31/2021,"DIALYSIS ASSOCIATES OF NORTHERN NEW JERSEY, LLC",95 HAYDEN AVENUE,"LEXINGTON, MA  02420",,Mr. BENJAMIN CAUSEY,,6/17/2020,
NJ24845,END STAGE RENAL DIALYSIS,24845,DIALYSIS AT DEBORAH,DIALYSIS AT DEBORAH,107 TRENTON ROAD, ,BROWNS MILLS,NJ,08015,"BROWNS MILLS, NJ  08015",BURLINGTON,(609) 893-3950,(609) 893-3704,April.mcCrane@davita.com,11/30/2020,"MAGOFFIN DIALYSIS, L.L.C.",2000 16TH STREET,"DENVER, CO  80202",,Ms. APRIL MCCRANE,,6/17/2020,
NJ24703,END STAGE RENAL DIALYSIS,24703,DIALYSIS CENTER OF WEST ORANGE,DIALYSIS CENTER OF WEST ORANGE,"101 OLD SHORT HILLS ROAD, SUITE 120", ,WEST ORANGE,NJ,07052,"WEST ORANGE, NJ  07052",ESSEX,(973) 736-8300,(973) 736-8320,saguila@americanrenal.com,10/31/2020,DIALYSIS CENTER OF WEST ORANGE LLC,"101 OLD SHORT HILLS ROAD, SUITE 120","WEST ORANGE, NJ  07052",Profit - LLC,Dr. LUIGI BONOMINI,,6/17/2020,
NJ312525,END STAGE RENAL DIALYSIS,41202,DIALYSIS CLINIC INC - NORTH BRUNSWICK,DIALYSIS CLINIC INC - NORTH BRUNSWICK,105 NORTH CENTER DRIVE, ,NORTH BRUNSWICK,NJ,08902,"NORTH BRUNSWICK, NJ  08902",MIDDLESEX,(732) 940-8368,(732) 940-0191,kathy.bivens@dciinc.org,6/30/2021,"DIALYSIS CLINIC, INC.",1633 CHURCH STREET,"NASHVILLE, TN  37203",Non-Profit - LLC,Ms. KATHLEEN BIVENS,,6/17/2020,
NJ24358,END STAGE RENAL DIALYSIS,24358,DIALYSIS CLINIC INC MONROE,DIALYSIS CLINIC INC MONROE,2 RESEARCH WAY, ,MONROE TOWNSHIP,NJ,08831,"MONROE TOWNSHIP, NJ  08831",MIDDLESEX,(609) 356-7200,(609) 395-0300,kathy.bivens@dciinc.org,2/28/2021,"DIALYSIS CLINIC, INC.",1633 CHURCH STREET,"NASHVILLE, TN  37203",Non-Profit - LLC,. KATHLEEN BIVENS,,6/17/2020,
NJ22462,END STAGE RENAL DIALYSIS,22462,DIALYSIS CLINIC INC. AT CENTRASTATE MEDICAL CENTER,DIALYSIS CLINIC INC AT CENTRASTATE MEDICAL CENTER,901 WEST MAIN STREET, ,FREEHOLD,NJ,07728,"FREEHOLD, NJ  07728",MONMOUTH,(732) 677-5200,(732) 303-8880,kathy.bivens@dciinc.org,6/30/2021,"DIALYSIS CLINIC, INC.",1633 CHURCH STREET,"NASHVILLE, TN  37203",Non-Profit - LLC,Ms. KATHLEEN BIVENS,,6/17/2020,
NJ22638,END STAGE RENAL DIALYSIS,22638,"DIALYSIS CLINIC, INC., SOMERSET","DIALYSIS CLINIC, INC SOMERSET",950 HAMILTON STREET, ,SOMERSET,NJ,08873,"SOMERSET, NJ  08873",SOMERSET,(732) 214-9128,(732) 214-9158,kathy.bivens@dciinc.org,6/30/2020,"DIALYSIS CLINIC, INC.",1633 CHURCH STREET,"NASHVILLE, TN  37203",Non-Profit - LLC,Mr. ROBERT MOTACKI,,6/17/2020,
NJ24873,END STAGE RENAL DIALYSIS,24873,DIALYSIS PALISADES MEDICAL CENTER,DIALYSIS PALISADES MEDICAL CENTER,"7650 RIVER ROAD, SUITE 150", ,NORTH BERGEN,NJ,07047,"NORTH BERGEN, NJ  07047",HUDSON,(201) 861-1031,(201) 758-2794,ling.chang@davita.com,10/31/2020,"NORTE DIALYSIS, L.L.C.",2000 16TH STREET,"DENVER, CO  80202",Profit - LLC,Ms. LING CHANG,,6/17/2020,
NJ24842,END STAGE RENAL DIALYSIS,24842,DIALYZE DIRECT NJ,DIALYZE DIRECT NJ,3297 STATE ROUTE 66, ,NEPTUNE,NJ,07753,"NEPTUNE, NJ  07753",MONMOUTH,(732) 806-9990,(732) 806-9995,alice@dialyzedirect.com,3/31/2021,DIALYZE DIRECT NJ L.L.C.,3297 STATE ROUTE 66,"NEPTUNE, NJ  07753",Profit - LLC,. LINDA WALCK,,6/17/2020,
NJ31C0001092,SURGICAL PRACTICE,R24574,DIAMOND INSTITUTE OF INFERTILITY & MENOPAUSE,DIAMOND INSTITUTE OF INFERTILITY & MENOPAUSE,89 MILLBURN AVENUE, ,MILLBURN,NJ,07041,"MILLBURN, NJ  07041",ESSEX,(973) 761-5600,(973) 761-5100,rochelles@diamondinstitute.com,5/31/2021,DIAMOND INSTITUTE FOR INFERTILITY & MENOPAUSE,89 MILLBURN AVENUE,"MILLBURN, NJ  07041",Profit - Individual,Dr. MATAN YEMINI,,6/17/2020,
NJ24400,AMBULATORY CARE FACILITY,24400,"DIGESTIVE HEALTHCARE CENTER, PA","DIGESTIVE HEALTHCARE CENTER, PA",412 COURTYARD DRIVE, ,HILLSBOROUGH,NJ,08844,"HILLSBOROUGH, NJ  08844",SOMERSET,(908) 218-9222,(908) 218-9818,bscrape@dhccenter.com,3/31/2021,"DIGESTIVE HEALTHCARE CENTER, PA",511 COURTYARD DRIVE,"HILLSBOROUGH, NJ  08844",Profit - Corporation,Mr. RAYMOND BERRIOS,,6/17/2020,
NJR24706,SURGICAL PRACTICE,R24706,DR MICHAEL ROSEN MD PC,DR MICHAEL ROSEN MD PC,1114 HOOPER AVENUE, ,TOMS RIVER,NJ,08753,"TOMS RIVER, NJ  08753",OCEAN,(732) 240-6396,(732) 240-3074,oharakath@yahoo.com,9/30/2020,"MICHAEL ROSEN, M.D., P.C.",1114 HOOPER AVENUE,"TOMS RIVER, NJ  08753",Profit - Corporation,Dr. MICHAEL ROSEN,,6/17/2020,
NJ24428,END STAGE RENAL DIALYSIS,24428,DURHAM CORNERS DIALYSIS,DURHAM CORNERS DIALYSIS,241 DURHAM AVENUE, ,SOUTH PLAINFIELD,NJ,07080,"SOUTH PLAINFIELD, NJ  07080",MIDDLESEX,(908) 222-2971,(908) 753-0783,Robinson.Ilagan@davita.com,3/31/2021,"TOTAL RENAL CARE, INC.",2000 16TH STREET,"DENVER, CO  80202",Profit - Corporation,. ROBINSON ILAGAN,,6/17/2020,
NJ23229,AMBULATORY CARE FACILITY,23294,DYNAMIC MEDICAL IMAGING L.L.C.,DYNAMIC MEDICAL IMAGING LLC,950 WEST CHESTNUT STREET, ,UNION,NJ,07083,"UNION, NJ  07083",UNION,(908) 687-2552,(908) 687-6552,DMINJJ@GMAIL.COM,9/30/2020,"DYNAMIC MEDICAL IMAGING, LLC",950 WEST CHESTNUT STREET,"UNION, NJ  07083",Profit - LLC,Mr. STEVEN BROWNSTEIN,M.D.,6/17/2020,
NJ1188,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1188,EARLY INTERVENTION PROGRAM,EARLY INTERVENTION PROGRAM,"3 COOPER PLAZA, SUITE 513", ,CAMDEN,NJ,08103,"CAMDEN, NJ  08103",CAMDEN,(856) 963-3715,(856) 635-1052,,5/31/2021,COOPER HEALTH SYSTEM,ONE COOPER PLAZA,"CAMDEN, NJ  08103",Non-Profit - Hospital,Dr. ANTHONY MAZZARELLI,,6/17/2020,
NJ24764,END STAGE RENAL DIALYSIS,24764,EAST BRUNSWICK DIALYSIS CENTER,EAST BRUNSWICK DIALYSIS CENTER,"629 CRANBURY ROAD, SUITE 101", ,EAST BRUNSWICK,NJ,08816,"EAST BRUNSWICK, NJ  08816",MIDDLESEX,(732) 238-1909,(732) 967-8173,ALAN.ZWERIN@Davita.com,1/31/2021,UNICOI DIALYSIS LLC,2000 16TH STREET,"DENVER, CO  80202",Profit - LLC,Mr. ALAN ZWERIN,,6/17/2020,
NJ24450,AMBULATORY CARE FACILITY,24450,"EAST BRUNSWICK IMAGING CENTER, LLC","EAST BRUNSWICK IMAGING CENTER, LLC",647 ROUTE 18 SOUTH, ,EAST BRUNSWICK,NJ,08816,"EAST BRUNSWICK, NJ  08816",MIDDLESEX,(732) 613-6300,(732) 613-6318,ari@ebiradiology.com,1/31/2021,"EAST BRUNSWICK IMAGING CENTER, LLC",647 ROUTE 18,"EAST BRUNSWICK, NJ  08816",Profit - LLC,. RALPH DEBELLONIA,,6/17/2020,
NJ23103,AMBULATORY CARE FACILITY,23103,EAST BRUNSWICK OPEN UPRIGHT MRI LLC,EAST BRUNSWICK OPEN UPRIGHT MRI LLC,"620 CRANBURY ROAD, SUITE 10", ,EAST BRUNSWICK,NJ,08816,"EAST BRUNSWICK, NJ  08816",MIDDLESEX,(732) 698-1717,(732) 638-2727,Asyed@middletownimaging.com,12/31/2020,E BRUNSWICK VENTURES LLC,"620 CRANBURY ROAD, SUITE 10","EAST BRUNSWICK, NJ  08816",,Dr. PARESH RIJSINGHANI,,6/17/2020,
NJ22214,END STAGE RENAL DIALYSIS,22214,EAST ORANGE DIALYSIS,EAST ORANGE DIALYSIS,14-20 PROSPECT STREET, ,EAST ORANGE,NJ,07017,"EAST ORANGE, NJ  07017",ESSEX,(973) 672-2025,(973) 675-1381,ronald.bornstad@davita.com,4/30/2021,"DVA  HEALTHCARE RENAL CARE, INC.",2000 16TH STREET,"DENVER, CO  80202",Profit - Corporation,Mr. RONALD BORNSTAD,,6/17/2020,
NJ1110,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1110,EAST ORANGE GEN HOSP HYPERBARIC WOUND CARE CENTER,EAST ORANGE GEN HOSP HYPERBARIC WOUND CARE CENTER,310 CENTRAL AVENUE, ,EAST ORANGE,NJ,07018,"EAST ORANGE, NJ  07018",ESSEX,(973) 266-4401,(973) 266-8488,Paige.Dworak@eogh.org,8/31/2020,EAST ORANGE GENERAL HOSPITAL,300 CENTRAL AVENUE,"EAST ORANGE, NJ  07018",Profit - Corporation,Ms. PAIGE DWORAK,,6/17/2020,
NJ1280,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1280,EAST ORANGE GENERAL HOSP,EAST ORANGE GENERAL HOSP,240 CENTRAL AVENUE, ,EAST ORANGE,NJ,07018,"EAST ORANGE, NJ  07018",ESSEX,(973) 266-4401,(973) 266-8488,Paige.Dworak@eogh.org,8/31/2020,EAST ORANGE GENERAL HOSPITAL,300 CENTRAL AVENUE,"EAST ORANGE, NJ  07018",Profit - Corporation,Ms. PAIGE DWORAK,,6/17/2020,
NJ10704,GENERAL ACUTE CARE HOSPITAL,10704,EAST ORANGE GENERAL HOSPITAL,EAST ORANGE GENERAL HOSPITAL,300 CENTRAL AVE, ,EAST ORANGE,NJ,07018,"EAST ORANGE, NJ  07018",ESSEX,(973) 266-4401,(973) 266-8488,Paige.Dworak@eogh.org ,8/31/2020,"PROSPECT EOGH, INC.",300 CENTRAL AVENUE,"EAST ORANGE, NJ  07018",Profit - Corporation,Ms. PAIGE DWORAK,,6/17/2020,188
NJ70771,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1167,EAST ORANGE GENERAL HOSPITAL FAMILY HEALTH CENTER,EAST ORANGE GENERAL HOSPITAL FAMILY HEALTH CENTER,300 CENTRAL AVENUE, ,EAST ORANGE,NJ,07018,"EAST ORANGE, NJ  07018",ESSEX,(973) 414-1871,(973) 414-1850,,8/31/2020,EAST ORANGE GENERAL HOSPITAL,300 CENTRAL AVENUE,"EAST ORANGE, NJ  07018",Profit - Corporation,Ms. PAIGE DWORAK,,6/17/2020,
NJ1189,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1189,EAST ORANGE GENERAL HOSPITAL LABORATORY,EAST ORANGE GENERAL HOSPITAL LABORATORY,310 CENTRAL AVENUE, ,EAST ORANGE,NJ,07018,"EAST ORANGE, NJ  07018",ESSEX,(973) 266-4401,(973) 266-8488,Paige.Dworak@eogh.org,8/31/2020,EAST ORANGE GENERAL HOSPITAL,300 CENTRAL AVENUE,"EAST ORANGE, NJ  07018",Profit - Corporation,Ms. PAIGE DWORAK,,6/17/2020,
NJ1388,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1388,EAST ORANGE GENERAL HOSPITAL-HEMODIALYSIS,EAST ORANGE GENERAL HOSPITAL-HEMODIALYSIS,310 CENTRAL AVENUE, ,EAST ORANGE,NJ,07018,"EAST ORANGE, NJ  07018",ESSEX,(973) 266-4401,(973) 266-8488,Paige. Dworak@eogh.org,8/31/2020,EAST ORANGE GENERAL HOSPITAL,300 CENTRAL AVENUE,"EAST ORANGE, NJ  07018",Profit - Corporation,Ms. PAIGE DWORAK,,6/17/2020,
NJ311821,FEDERALLY QUALIFIED HEALTH CENTERS,80194,EAST ORANGE PRIMARY CARE CENTER,EAST ORANGE PRIMARY CARE CENTER,444 WILLIAM STREET, ,EAST ORANGE,NJ,07017,"EAST ORANGE, NJ  07017",ESSEX,(973) 483-1300,(973) 350-5562,pclarke@nchcfqhc.org,4/30/2021,"NEWARK COMMUNITY HEALTH CENTERS, INC",741 BROADWAY,"NEWARK, NJ  07104",Non-Profit - Other,Dr. PAMELA CLARKE,,6/17/2020,
NJ24827,END STAGE RENAL DIALYSIS,24827,EAST PATERSON DIALYSIS,EAST PATERSON DIALYSIS,"680 BROADWAY, SUITE 103", ,PATERSON,NJ,07514,"PATERSON, NJ  07514",PASSAIC,(973) 357-8079,(973) 279-1825,alicia.nunez@davita.com,5/31/2020,"EUFAULA DIALYSIS, L.L.C.",2000 16TH STREET,"DENVER, CO  80202",Profit - LLC,Mrs. ALICIA NUNEZ,,6/17/2020,
NJR24886,SURGICAL PRACTICE,R24886,EAST TREMONT VASCULAR HEALTH CARE PLLC,EAST TREMONT VASCULAR HEALTH CARE PLLC,"1625 ANDERSON AVENUE, SUITE 303", ,FORT LEE,NJ,07024,"FORT LEE, NJ  07024",BERGEN,(201) 224-1100,(201) 224-1300,debtieni@aol.com,10/31/2019,"EAST TREMONT VASCULAR HEALTH CARE, PLLC",1101 PALISADES AVENUE,"FORT LEE, NJ  07024",,Mr. NILESH BALAR,,6/17/2020,
NJ22943,END STAGE RENAL DIALYSIS,22943,EDISON DIALYSIS,EDISON DIALYSIS,29 MERIDIAN ROAD, ,EDISON,NJ,08820,"EDISON, NJ  08820",MIDDLESEX,(732) 205-9883,(732) 205-9890,Ron.Competente@davita.com,8/31/2020,"DVA  HEALTHCARE RENAL CARE, INC.",2000 16TH STREET,"DENVER, CO  80202",Profit - Corporation,Mr. RON COMPETENTE,,6/17/2020,
NJ24877,AMBULATORY CARE FACILITY,24877,"EDISON MEDICAL IMAGING, LLC","EDISON MEDICAL IMAGING, LLC","1907 OAK TREE ROAD, SUITE 101", ,EDISON,NJ,08820,"EDISON, NJ  08820",MIDDLESEX,(732) 243-9909,(848) 200-7372,sam@jerseyadvancedmri.com,12/31/2020,"EDISON MEDICAL IMAGING, LLC","1907 OAK TREE ROAD, SUITE 101","EDISON, NJ  08802",,Mr. FITZGERALD SILVERA,,6/17/2020,
NJ31C0001109,AMBULATORY SURGICAL CENTER,R24600,EDISON SURGERY CENTER LLC,EDISON SURGERY CENTER LLC,"10 PARSONAGE ROAD, SUITE 206", ,EDISON,NJ,08837,"EDISON, NJ  08837",MIDDLESEX,(732) 243-9798,(848) 209-8150,TPARK3848@GMAIL.COM,5/31/2020,"EDISON SURGERY CENTER, LLC","10 PARSONAGE ROAD, SUITE 206, 2ND FLOOR","EDISON, NJ  08837",Profit - LLC,Mr. WILLIAM VANDERVEER,,6/17/2020,
NJ90062,AMBULATORY SURGICAL CENTER,R24675,ELITE SURGICAL CENTER LLC,ELITE SURGICAL CENTER LLC,307 HAMBURG TURNPIKE, ,WAYNE,NJ,07470,"WAYNE, NJ  07470",PASSAIC,(973) 790-7700,(973) 689-7618,DSIMMONS@WAYNESURGICAL.COM,10/31/2020,"WAYNE SURGICAL CENTER, L.L.C.",1176 HAMBURG TURNPIKE,"WAYNE, NJ  07470",Profit - LLC,Mr. DENNIS SIMMONS,,6/17/2020,
NJ25179,END STAGE RENAL DIALYSIS,25179,ELMORA DIALYSIS,ELMORA DIALYSIS,547 MORRIS AVENUE, ,ELIZABETH,NJ,07208,"ELIZABETH, NJ  07208",UNION,(908) 436-9201,(908) 436-9206,ron.competente@davita.com,2/28/2021,"PINSON DIALYSIS, LLC",2000 16TH STREET,"DENVER, CO  80202",,Mr. RON COMPETENTE,,6/17/2020,
NJ80026,SURGICAL PRACTICE,R24552,ELTRA LLC,ELTRA LLC,"254 COLUMBIA TPKE,   SUITE 100", ,FLORHAM PARK,NJ,07932,"FLORHAM PARK, NJ  07932",MORRIS,(973) 243-0500,(973) 243-0501,jdwyer@eltrasurgery.com,8/31/2020,"ELTRA, L.L.C.",254 COLUMBIA TURNPIKE,"FLORHAM PARK, NJ  07932",Profit - LLC,Ms. MARYANNE DAHMEN,,6/17/2020,
NJ311556,HOSPICE CARE PROGRAM,23087,EMBRACING HOSPICE CARE OF NEW JERSEY,EMBRACING HOSPICE CARE OF NEW JERSEY,"3349 ROUTE 138, BUILDING D, SUITE F", ,WALL,NJ,07719,"WALL, NJ  07719",MONMOUTH,(732) 974-2545,(732) 974-1666,rtangolics@ehcnj.com,1/31/2021,"EMBRACING HOSPICECARE OF NEW JERSEY, LLC",,"WALL, NJ  07719",,Ms. SUSAN FROEHLICH,,6/17/2020,
NJ22843,AMBULATORY CARE FACILITY,22843,EMERGIMED,EMERGIMED,663 PALISADE AVENUE, ,CLIFFSIDE PARK,NJ,07010,"CLIFFSIDE PARK, NJ  07010",BERGEN,(201) 945-6500,(201) 945-1157,phillipmeneses@aol.com,5/31/2021,EMERGIMED,663 PALISADE AVENUE,"CLIFFSIDE PARK, NJ  07010",Profit - Partnership,Dr. BEN CHOUAKE,,6/17/2020,
NJ24184,AMBULATORY SURGICAL CENTER,24184,EMMAUS SURGICAL CENTER LLC,EMMAUS SURGICAL CENTER LLC,"57 ROUTE 46, SUITE 104", ,HACKETTSTOWN,NJ,07840,"HACKETTSTOWN, NJ  07840",MORRIS,(908) 813-9600,(908) 813-9611,joanne.mccollian@scasurgery.com,2/28/2021,EMMAUS SURGICAL CENTER LLC,"57 ROUTE 46, SUITE 104","HACKETTSTOWN, NJ  07840",Profit - LLC,. JOANNE MCCOLLIAN,,6/17/2020,
NJ22922,COMPREHENSIVE REHABILITATION HOSPITAL,22922,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TINTON FALLS,ENCOMPASS HEALTH REHAB HOSPITAL OF TINTON FALLS,2 CENTRE PLAZA, ,TINTON FALLS,NJ,07724,"TINTON FALLS, NJ  07724",MONMOUTH,(732) 460-5320,(732) 460-7446,beth.lynch@encompasshealth.com,4/30/2021,"MMC ENCOMPASS HEALTH REHABILITATION HOSPITAL, LLC",9001 LIBERTY PARKWAY,"BIRMININGHAM, AL  35242",,Ms. BETH LYNCH,,6/17/2020,60
NJ21525,COMPREHENSIVE REHABILITATION HOSPITAL,21525,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TOMS RIVER,ENCOMPASS HEALTH REHAB HOSPITAL OF TOMS RIVER,14 HOSPITAL DRIVE, ,TOMS RIVER,NJ,08755,"TOMS RIVER, NJ  08755",OCEAN,(732) 844-3100,(732) 818-4840,PATTY.OSTASZEWSKI@ENCOMPASSHEALTH.COM,3/31/2021,"ENCOMPASS HEALTH REHAB HOSP OF TOMS RIVER,LLC",9001 LIBERTY PARKWAY,"BIRMINGHAM, AL  35242",,Ms. PATRICIA OSTASZEWSKI,,6/17/2020,92
